#sigma,tau,jitter
1.4777320129324931,203.5704908558174,0.00013692526702131137
1.4712571822135878,197.8794967299384,0.00013654560451967983
1.4875116696487585,209.7320110477503,0.00013732107498687623
1.4828775047091283,206.77576830377012,0.00013696024108236695
1.4677100549986728,197.8027344252429,0.00013685584235505796
1.4784647791195222,204.01732018969474,0.00013712947560332348
1.4838735680316815,209.96638502076541,0.00013735411524287672
1.461708388693032,191.8632430983244,0.00013578343861104155
1.4721438301268182,200.36254851026806,0.00013644418201286926
1.4759580637377656,204.02503261081657,0.00013764222681631862
1.4753576685910832,201.79987628678418,0.0001367562553999375
1.4712571822135878,197.8794967299384,0.00013654560451967983
1.4888741920311483,210.49917788125472,0.00013734731563984327
1.4805687267258616,205.85527742207344,0.00013718706553414578
1.4660292583545225,197.7663064339028,0.00013700335623937105
1.4806072270098687,204.0107390993259,0.0001366934349880312
1.4838735680316815,209.96638502076541,0.00013735411524287672
1.4660141875726673,194.95373819336024,0.00013609054976589254
1.4727181925950161,201.98684242080762,0.0001363785542128063
1.4846215288738955,212.21879504821806,0.00013899988779678962
1.47488664214882,201.29682637278032,0.00013673094990840804
1.472456311283875,198.71860438998928,0.00013660032843387245
1.4888741920311483,210.49917788125472,0.00013734731563984327
1.479100818580582,204.0522725346274,0.00013711281291337382
1.4660292583545225,197.7663064339028,0.00013700335623937105
1.4825351872539405,205.27863205585922,0.00013671539203729573
1.4896564856287748,215.8692962768369,0.0001377352767457965
1.4598785103223288,191.419311968523,0.0001356047139976741
1.4744851688850709,202.4393383323291,0.00013644916397610195
1.4846215288738955,212.21879504821806,0.00013899988779678962
1.475458857272287,201.92492401269115,0.00013686369796388873
1.458253441030796,185.45273341346956,0.00013566028040798767
1.4912518245334756,212.04806911914537,0.000137432750603838
1.4801381504454787,204.4102025812487,0.00013750065886008052
1.4569383646740153,192.86404513902065,0.00013686523124207932
1.4806653206969624,204.35276421270333,0.0001367262444666179
1.5181328286569011,237.63947082209617,0.00013848147640451667
1.4598785103223288,191.419311968523,0.0001356047139976741
1.4775975119798124,203.53422627089682,0.0001365522049378751
1.4928551724353678,221.857905908923,0.00014093644927813385
1.4683431458590097,194.2349719800928,0.00013521841945304258
1.44925696823228,176.885301722704,0.0001343012088766569
1.4927594265388764,213.0347949661797,0.0001374868798864941
1.4799146752148566,204.03969475881837,0.000137570034780113
1.444708152663489,186.31951827190375,0.00013665013697234489
1.4843666189735079,206.09119700610898,0.00013662890537663704
1.5208382886539902,240.39919724439997,0.00013858696304368118
1.46146222693869,197.41201676754628,0.00013555064291378573
1.4824799425564563,208.33001482908594,0.00013677639679865157
1.4928551724353678,221.857905908923,0.00014093644927813385
1.4758391669372048,196.7874810295301,0.0001347722489133774
1.4341170974335433,166.3172251651817,0.0001340298021636058
1.4955797312026016,214.68792209109733,0.0001375353070620147
1.4797160713464272,203.87630024101873,0.00013756590321663975
1.427101163875434,175.50377641357034,0.00013623008101176307
1.4781596392699712,202.8999352004418,0.00013663219041821142
1.5163625291358114,235.93234923803706,0.00013832107806358276
1.4487145030601705,193.2814470916561,0.0001347224294955215
1.4859360939501853,210.16694205988307,0.00013697734309150176
1.4959977892493435,227.3617064333079,0.00014276603016723197
1.4679425852580086,195.76700510558243,0.00013475783861234547
1.4232040931676202,158.2547909747353,0.00013318073906393377
1.4934684189555574,213.19296825155033,0.00013732295413880242
1.4759253334201932,201.23643358903092,0.00013665790995982203
1.4341852760513127,178.90149154018545,0.00013597055964227023
1.4795322546079184,203.80971097550335,0.0001367035199303061
1.546206170817405,263.6811195650623,0.00013962556357780448
1.463978594697723,217.4795626567717,0.00013564032404994402
1.4859360939501853,210.16694205988307,0.00013697734309150176
1.4871883488961597,220.67229580951152,0.00014125164748971352
1.4679425852580086,195.76700510558243,0.00013475783861234547
1.4379084744502375,169.32348862324966,0.00013407580798482
1.4865485886559389,208.41112058865698,0.00013706118151690224
1.5000109407747044,215.04806763792828,0.00013704727837310747
1.416248446973305,169.90245016718558,0.00013567011145038395
1.5124425745689305,223.35485797977077,0.0001372265707146671
1.546206170817405,263.6811195650623,0.00013962556357780448
1.4657240078729052,218.3949603190433,0.00013572599442769365
1.4864406193985673,211.42874024377437,0.000137560619733662
1.490211294025886,221.08786144803057,0.00014199275687641903
1.4647229963140393,194.0753852747058,0.00013481353446418047
1.4057230440053572,150.18947858665723,0.00013274773592868166
1.4853065463147361,204.27279168419003,0.00013542537104539832
