#x,y,yerr,mask
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
16.008,1.39579,0.01389,False
