# time,flux,err
9.071169999999999334e+01,5.313379000000000296e+00,3.083211000000000146e-01
9.597728999999999644e+01,5.872201999999999700e+00,8.373867999999999590e-02
1.012429000000000059e+02,6.030357999999999663e+00,3.129824999999999968e-01
1.065084999999999980e+02,6.166250999999999927e+00,3.029665000000000274e-01
1.117740000000000009e+02,6.282968999999999582e+00,1.345098000000000127e-01
1.170395999999999930e+02,5.970703999999999567e+00,3.176007000000000136e-01
1.223051999999999992e+02,6.076953999999999745e+00,2.951597000000000248e-01
1.275708000000000055e+02,6.778960999999999792e+00,1.685087999999999864e-01
1.328363999999999976e+02,7.286520000000000330e+00,3.228903000000000190e-01
1.381020000000000039e+02,7.436537000000000397e+00,2.888000000000000012e-01
1.433676000000000101e+02,7.050474999999999604e+00,1.945493000000000083e-01
1.486331999999999880e+02,7.196540999999999855e+00,3.255962000000000023e-01
1.538986999999999910e+02,7.708675000000000388e+00,2.790424000000000238e-01
1.591642999999999972e+02,8.757175000000000153e+00,2.207275999999999960e-01
1.644299000000000035e+02,9.348725999999999203e+00,3.299251999999999740e-01
1.696955000000000098e+02,9.763382000000000005e+00,2.719210000000000238e-01
1.749610999999999876e+02,9.995039000000000229e+00,2.417038999999999993e-01
1.802266999999999939e+02,1.010617000000000054e+01,4.644898000000000082e-01
1.854923000000000002e+02,1.018454000000000015e+01,6.680291000000000423e-01
1.907578000000000031e+02,1.026299000000000028e+01,8.009197999999999595e-01
1.960234000000000094e+02,1.034151999999999916e+01,8.952101000000000086e-01
2.012889999999999873e+02,1.042013000000000034e+01,9.623232000000000452e-01
2.065545999999999935e+02,1.049884999999999913e+01,1.007710000000000106e+00
2.118201999999999998e+02,1.057765999999999984e+01,1.034240999999999966e+00
2.170858000000000061e+02,1.065658999999999956e+01,1.043357000000000090e+00
2.223514000000000124e+02,1.073563000000000045e+01,1.035519000000000078e+00
2.276169999999999902e+02,1.081479000000000035e+01,1.010332999999999926e+00
2.328824999999999932e+02,1.089408000000000065e+01,9.664388999999999896e-01
2.381480999999999995e+02,1.097349999999999959e+01,9.016872999999999694e-01
2.434137000000000057e+02,1.105306999999999995e+01,8.169362000000000013e-01
2.486793000000000120e+02,1.113279999999999959e+01,7.212123999999999757e-01
2.539448999999999899e+02,1.121354999999999968e+01,5.879659999999999886e-01
2.592105000000000246e+02,1.132306999999999952e+01,4.345207999999999848e-01
2.644760999999999740e+02,1.156583000000000006e+01,3.934324000000000154e-01
2.697416000000000054e+02,1.200230999999999959e+01,3.892742000000000147e-01
2.750072000000000116e+02,1.259163999999999994e+01,3.894268000000000174e-01
2.802728000000000179e+02,1.303470000000000084e+01,3.908723000000000058e-01
2.855384000000000242e+02,1.334853000000000023e+01,3.905138000000000220e-01
2.908039999999999736e+02,1.344636999999999993e+01,3.906840999999999786e-01
2.960695999999999799e+02,1.291416000000000075e+01,3.911004000000000147e-01
3.013351999999999862e+02,1.256119999999999948e+01,3.896859999999999769e-01
3.066007999999999925e+02,1.273442000000000007e+01,3.898462999999999790e-01
3.118663000000000238e+02,1.258319999999999972e+01,3.905529999999999835e-01
3.171318999999999733e+02,1.239564999999999984e+01,3.893269999999999786e-01
3.223974999999999795e+02,1.235845999999999911e+01,3.894298999999999955e-01
3.276630999999999858e+02,1.207382999999999917e+01,3.898669000000000162e-01
3.329286999999999921e+02,1.189813000000000009e+01,3.886437999999999837e-01
3.381942999999999984e+02,1.210411999999999999e+01,3.893460000000000254e-01
3.434599000000000046e+02,1.209815000000000040e+01,3.899707000000000034e-01
3.487255000000000109e+02,1.199783000000000044e+01,3.874736999999999765e-01
3.539909999999999854e+02,1.195762000000000036e+01,3.712790000000000257e-01
3.592565999999999917e+02,1.183421000000000056e+01,2.223511999999999988e-01
3.645221999999999980e+02,1.103402999999999956e+01,3.049000000000000044e-01
3.697878000000000043e+02,1.041050000000000075e+01,2.540984000000000020e-01
