#Lag,CCF
-1000.0,-0.7265746084782432
-997.9999999999,-0.7302731401162156
-995.9999999997999,-0.732286936449358
-993.9999999996999,-0.7325560670804234
-991.9999999995998,-0.7323865014854496
-989.9999999994998,-0.7345645075951441
-987.9999999993997,-0.7350815359280047
-985.9999999992997,-0.7339102545985747
-983.9999999991996,-0.7326619568862294
-981.9999999990996,-0.7347639062703274
-979.9999999989996,-0.7353320114719026
-977.9999999988995,-0.7343267163603475
-975.9999999987995,-0.7330937740962008
-973.9999999986994,-0.7346043772079348
-971.9999999985994,-0.7347068743021341
-969.9999999984993,-0.7333499289726668
-967.9999999983993,-0.7318740447010288
-965.9999999982992,-0.7332522619430932
-963.9999999981992,-0.7332102516588694
-961.9999999980992,-0.7316887353751094
-959.9999999979991,-0.7303016784174763
-957.9999999978991,-0.7328278387324907
-955.999999997799,-0.7341707198734784
-953.999999997699,-0.7342868623208393
-951.9999999975989,-0.7341517493453283
-949.9999999974989,-0.7360120785447275
-947.9999999973988,-0.7366885608910523
-945.9999999972988,-0.736156103529076
-943.9999999971988,-0.7353250212541805
-941.9999999970987,-0.736329848447312
-939.9999999969987,-0.7362591567395164
-937.9999999968986,-0.7351077799078813
-935.9999999967986,-0.7337547162938394
-933.9999999966985,-0.7342287251540962
-931.9999999965985,-0.7337136335245614
-929.9999999964984,-0.7322042022980122
-927.9999999963984,-0.729804786198323
-925.9999999962984,-0.7267908228779459
-923.9999999961983,-0.7228921389936316
-921.9999999960983,-0.718129539807072
-919.9999999959982,-0.7136323296052678
-917.9999999958982,-0.7121568094207501
-915.9999999957981,-0.7101314028926486
-913.9999999956981,-0.7075493886066228
-911.999999995598,-0.7050201336061601
-909.999999995498,-0.7041425522463889
-907.999999995398,-0.7029300681916204
-905.9999999952979,-0.7013773443461255
-903.9999999951979,-0.7001724415081634
-901.9999999950978,-0.701154068201074
-899.9999999949978,-0.7020562533979242
-897.9999999948977,-0.702877902670936
-895.9999999947977,-0.7066669400912189
-893.9999999946976,-0.7084487465922867
-891.9999999945976,-0.7100369228869203
-889.9999999944976,-0.7114285909807807
-887.9999999943975,-0.7157594004213809
-885.9999999942975,-0.7172299889178986
-883.9999999941974,-0.7183327421535755
-881.9999999940974,-0.7190597310240555
-879.9999999939973,-0.7218571810102105
-877.9999999938973,-0.7234759356567056
-875.9999999937972,-0.7245335588109303
-873.9999999936972,-0.7250253459938396
-871.9999999935972,-0.728102878113694
-869.9999999934971,-0.7289325755521391
-867.9999999933971,-0.7286139663224414
-865.999999993297,-0.7271816949455792
-863.999999993197,-0.7245336709499448
-861.9999999930969,-0.7235304304428576
-859.9999999929969,-0.7212874658828659
-857.9999999928968,-0.7178425678789013
-855.9999999927968,-0.7164916024268446
-853.9999999926968,-0.7185218826107935
-851.9999999925967,-0.7189879344543095
-849.9999999924967,-0.7179257914337225
-847.9999999923966,-0.7179292624447212
-845.9999999922966,-0.7209550579006112
-843.9999999921965,-0.7219476744349878
-841.9999999920965,-0.7210277081954013
-839.9999999919964,-0.7228690989701674
-837.9999999918964,-0.7254087349479411
-835.9999999917964,-0.7258676210849646
-833.9999999916963,-0.7243784003709979
-831.9999999915963,-0.7249051809628353
-829.9999999914962,-0.7265253724555687
-827.9999999913962,-0.7262316190011693
-825.9999999912961,-0.7241427661753576
-823.9999999911961,-0.7243914865848364
-821.999999991096,-0.7282403450013861
-819.999999990996,-0.7300414065695131
-817.999999990896,-0.7298326781317714
-815.9999999907959,-0.7318835083437825
-813.9999999906959,-0.735178407206829
-811.9999999905958,-0.7364329289596261
-809.9999999904958,-0.7356681318320184
-807.9999999903957,-0.7373515407783637
-805.9999999902957,-0.7401191028164831
-803.9999999901956,-0.7408064484749537
-801.9999999900956,-0.7394313363641432
-799.9999999899956,-0.7402979191491537
-797.9999999898955,-0.7411798053840791
-795.9999999897955,-0.7399003310851141
-793.9999999896954,-0.736478492909431
-791.9999999895954,-0.7350191536682465
-789.9999999894953,-0.7337584094322911
-787.9999999893953,-0.7303986395333606
-785.9999999892952,-0.7249681517395943
-783.9999999891952,-0.7225830173504365
-781.9999999890952,-0.7235624430436873
-779.9999999889951,-0.7223146795150622
-777.9999999888951,-0.7188424485542059
-775.999999988795,-0.7183319001812435
-773.999999988695,-0.7181473259116452
-771.9999999885949,-0.7157134407166321
-769.9999999884949,-0.7110211822385406
-767.9999999883948,-0.7089650507396617
-765.9999999882948,-0.7079213396745616
-763.9999999881948,-0.7046109533038989
-761.9999999880947,-0.6990281830440632
-759.9999999879947,-0.6966200228036641
-757.9999999878946,-0.695014673677933
-755.9999999877946,-0.691068827565448
-753.9999999876945,-0.6847905894962596
-751.9999999875945,-0.6818220684083274
-749.9999999874944,-0.6775205818440748
-747.9999999873944,-0.6708450844219784
-745.9999999872944,-0.6618264843850291
-743.9999999871943,-0.6557297444834753
-741.9999999870943,-0.6520519463194299
-739.9999999869942,-0.6459197866164443
-737.9999999868942,-0.637384411757364
-735.9999999867941,-0.6332168669651497
