#sigma,tau
1.5180351431345493,197.24669274898693
1.5127815736288828,198.2202833454237
1.4689714490294747,201.60908156977925
1.3664973562290497,210.07928766106053
1.5215151454718523,197.72820543809823
1.464231531073088,202.33956991868993
1.4879892767931,200.34826077719487
1.5684872833364933,192.88522161252433
1.4510280952341559,203.45785488456727
1.5173655855363712,198.7608557166553
1.4867370370792596,200.11869828088336
1.386592917009415,209.67966741943667
1.5094724208231416,197.75198173936394
1.4307688593165138,206.74506313326526
1.549621501659191,195.52522139528344
1.4764363548331916,200.968395187695
1.440048498883572,204.90210335637073
1.3871627763232428,209.96152087515426
1.4359484214918612,204.9812072297397
1.4963450917975025,199.36129304121812
1.473421400171681,201.42591092885547
1.4925986339278945,199.88524390615964
1.706655724702727,182.79318894600462
1.4244281005752166,205.28273023215849
1.4549208676896903,204.27506415921647
1.5072012145956095,198.919928644092
1.4572103926048392,203.86060761412918
1.4651987883148105,201.77622438869068
1.4669667876203554,202.27771655669972
1.4758945833180719,202.37063486757967
1.5089071809939698,199.79263280207147
1.5135363676100588,197.84016397126825
1.400159204811986,208.41854786442852
1.4616086855012635,202.69754090823727
1.5580112408947966,193.0662138446465
1.457938616975032,202.1272475853448
1.5583880105116896,196.10274020472883
1.4655138382549193,201.87944967592642
1.4181153601190881,205.06307274483513
1.4556518884854581,202.14012453485216
1.4222228367986585,206.95594341733766
1.5998908230235915,191.889756860643
1.4933242022567075,198.84629531293672
1.413304525053,207.44222049184236
1.40706392670101,207.77402027955046
1.4775113336045453,201.18332438728305
1.5059793847827134,198.85429413069997
1.487905330027045,200.51302921814707
1.4462220534215626,203.12311467463996
1.4910970673483286,200.70707361755484
1.4114462572045634,206.21304810807794
1.482589106243183,200.5698484997287
1.4215414963835826,205.90080423514465
1.5150483483748982,197.01933970803606
1.4793744085480625,200.02703468914206
1.4423524745362788,204.33417516155245
1.471960985835275,201.85225245892985
1.5327550442391584,197.0379598486082
1.4391390128476576,204.32728766727712
1.496583558922951,199.5650966967218
1.47498481757913,194.5361946737478
1.5412112124655533,195.52447738209656
1.5051581477982396,198.08705354912155
1.4232839892165043,205.74732760885138
