6660.20898             640.76230             15.67202   
6664.51318             611.15119             19.07376   
6669.50000             576.77531             29.35440   
6683.47998             625.62597             13.68003   
6686.47314             630.42887             14.46972   
6696.77783             650.01041             13.80045   
6715.38818             647.78410             13.03426   
6717.33398             627.07725             12.22391   
6720.44580             628.20888             13.70855   
6722.38721             660.06360             12.70232   
6726.45703             627.91097             12.76754   
6739.41016             611.15467             12.87662   
6745.28076             601.58447             12.28183   
6747.41602             616.24159             14.73138   
6749.37305             613.85241             13.25679   
6751.33984             605.01790             13.02644   
6755.34082             599.63138             13.67713   
6768.22705             615.78837             12.46677   
6772.23389             584.83614             11.69241   
6780.23389             599.45129             12.61671   
6782.24707             610.74271             12.15168   
6783.24805             602.59392             12.49910   
6795.17480             613.28639             14.24622   
6799.21191             622.77650             12.14879   
6804.18701             613.88938             14.91250   
6808.25879             618.07151             15.20506   
6813.22705             641.13378             13.98822   
6825.18604             657.00440             13.09006   
6829.21094             660.61393             13.43275   
6833.20996             691.72128             13.69096   
6837.18896             686.30438             12.74232   
