#lags,ntau,weight_dist,acf,smooth_dist,smooth_weight_dist
-709.1340000000055,69.0,0.7998116554450356,-0.33668997802354583,3.143017626020301e-08,2.566462868040175e-08
-707.6340000000055,69.0,0.8004861187449905,-0.340764455130787,4.6749601599958373e-08,3.817397951741955e-08
-706.1340000000055,69.0,0.8011697825198365,-0.3296467064422332,6.915571706820201e-08,5.6470167770473595e-08
-704.6340000000055,69.0,0.8018095023621673,-0.3185074730226066,1.0174256946596242e-07,8.307976935194274e-08
-703.1340000000055,68.0,0.8024128647077856,-0.3141093455210304,1.4887014756015542e-07,1.2156314499024227e-07
-701.6340000000055,67.0,0.8029590483604266,-0.3291705237941551,2.1664529620362644e-07,1.769071756135957e-07
-700.1340000000055,67.0,0.8034745806155021,-0.3320825831631585,3.1357011806847205e-07,2.5605478335700814e-07
-698.6340000000055,66.0,0.8039750503305733,-0.33875694063424966,4.514103745285003e-07,3.6861412806763363e-07
-697.1340000000055,64.0,0.8044576259462499,-0.3484042582537986,6.463508090916497e-07,5.278021424819594e-07
-695.6340000000055,63.0,0.8049124325231514,-0.34046107772324163,9.205220303959124e-07,7.516915408261595e-07
-694.1340000000055,62.0,0.8053586208578828,-0.32239897389924965,1.304005182378619e-06,1.0648480760249918e-06
-692.6340000000055,62.0,0.8058089728361598,-0.33771786782042457,1.8374467326928366e-06,1.5004661503964371e-06
-691.1340000000055,61.0,0.8062543601518664,-0.33534677965160475,2.5754470259126434e-06,2.1031364761048483e-06
-689.6340000000055,60.0,0.8066911859994723,-0.36049720751058156,3.590923543405329e-06,2.9324099638208337e-06
-688.1340000000055,60.0,0.8070917715260338,-0.3605788894530364,4.980693934267801e-06,4.0673580855950835e-06
-686.6340000000055,60.0,0.8074822190613405,-0.3672515847459618,6.872575777266269e-06,5.61237238677421e-06
-685.1340000000055,60.0,0.807905628676967,-0.34474406432697835,9.434360777902456e-06,7.704495494747704e-06
-683.6340000000055,60.0,0.8083574502285923,-0.3450312423410898,1.2885091950745205e-05,1.0522633918555605e-05
-682.1340000000055,59.0,0.8088179135594645,-0.35021680997161386,1.7509154784668834e-05,1.4299070384835743e-05
-680.6340000000055,59.0,0.8092576417106142,-0.34626469803685833,2.367378927798187e-05,1.933377192421303e-05
-679.1340000000055,59.0,0.8096965929045536,-0.34244822481493,3.1850741365256025e-05,2.6012081300458198e-05
-677.6340000000055,57.0,0.8100953721187982,-0.3596188672535955,4.264290255664618e-05,3.482648605968777e-05
-676.1340000000055,57.0,0.8104645300251672,-0.35465154929822584,5.6816939285221555e-05,4.6403284515922686e-05
-674.6340000000055,56.0,0.8107898997952665,-0.3551013487327902,7.534309320860965e-05,6.153511524025144e-05
-673.1340000000055,55.0,0.8110893669941894,-0.34379457319739104,9.94435464251836e-05,8.122049091375362e-05
-671.6340000000055,54.0,0.8113599512997096,-0.35298750313555427,0.00013065099849185325,0.00010671168468527353
-670.1340000000055,54.0,0.811598369721007,-0.35123710883781367,0.00017087940400093893,0.00013957256460246276
-668.6340000000055,53.0,0.8118176497656544,-0.3533040169589501,0.00022250918051276665,0.00018174826763947883
-667.1340000000055,51.0,0.8120056896510504,-0.34775065468263794,0.0002884896284177596,0.00023564895880774487
-665.6340000000055,50.0,0.8121578198918039,-0.3570610161881855,0.00037246181934541794,0.0003042503430711739
-664.1340000000055,50.0,0.8123309483819618,-0.3553165706180546,0.00047890582083790016,0.00039121409877003097
-662.6340000000055,49.0,0.8124999766122912,-0.35945439908350363,0.0006133168441227442,0.0005010319907811976
-661.1340000000055,48.0,0.8126405365844918,-0.363756745345783,0.0007824157385176089,0.0006391981075362433
-659.6340000000055,48.0,0.8127919309936726,-0.3601747757967474,0.0009944002153512703,0.0008124144524294887
-658.1340000000055,46.0,0.8129510928693117,-0.3608059865676285,0.0012592442641979596,0.0010288360053557477
-656.6340000000055,46.0,0.8130912959031713,-0.36359014203316675,0.0015890544122100511,0.0012983623438882056
-655.1340000000055,46.0,0.81326938041015,-0.35747802139819024,0.0019984927467869926,0.0016329839541424395
-653.6340000000055,46.0,0.8134226121984114,-0.3533176541770746,0.0025052779279184567,0.002047192431966695
-652.1340000000055,45.0,0.8135863853075214,-0.34838940455798284,0.0031307766920555483,0.0025584648206948605
-650.6340000000055,45.0,0.8137426486393837,-0.36603915097741546,0.003900699500653657,0.00318783327561937
-649.1340000000055,44.0,0.8139026975758451,-0.3580163628388961,0.0048459148901941985,0.003960551986547301
-647.6340000000055,44.0,0.814044941038024,-0.3527958964112592,0.006003397581209978,0.004906873701123449
-646.1340000000055,43.0,0.814170962170449,-0.35154648520743415,0.00741732531401304,0.006062948119443803
-644.6340000000055,41.0,0.8142456695039577,-0.3487835685225934,0.009140338480701077,0.0074718536965558075
-643.1340000000055,40.0,0.8143254520153135,-0.3462291043182858,0.01123497467395431,0.009184772795079055
-641.6340000000055,40.0,0.8143742790399175,-0.35460665894104676,0.013775287014623626,0.011262317463717222
-640.1340000000055,40.0,0.8144522172030363,-0.361296846768806,0.016848650291046315,0.01377600916505845
-638.6340000000055,40.0,0.8145268370705837,-0.35391342577259177,0.02055775229744399,0.016809910336338708
-637.1340000000055,39.0,0.8145953606591102,-0.35058856659072224,0.025022759087995002,0.02046239856883631
-635.6340000000055,38.0,0.8146448237878222,-0.354370675080514,0.030383632021956132,0.02484806531619438
-634.1340000000055,35.0,0.8147102042148507,-0.35430704525397994,0.03680256141072801,0.030099710345800078
-632.6340000000055,36.0,0.8147611044349861,-0.34910551038197163,0.0444664663602377,0.036370390687620324
-631.1340000000055,34.0,0.8148326976526429,-0.35207163533459485,0.05358949325474689,0.043835468794098574
-629.6340000000055,34.0,0.8148988793320971,-0.34743206551699174,0.06441542665454897,0.05269458933271322
-628.1340000000055,34.0,0.8150266465353667,-0.36040053782762327,0.0772199067844186,0.06317349798400383
-626.6340000000055,34.0,0.8151633372012161,-0.36016966049694304,0.09231232808948542,0.07552559948100163
-625.1340000000055,34.0,0.8153206506385863,-0.361043759730724,0.11003727456019319,0.09003313674367176
-623.6340000000055,34.0,0.8154706168985183,-0.3568060511378829,0.1307753309045823,0.10700785933781691
-622.1340000000055,33.0,0.8156197538723449,-0.35343784844219567,0.15494309556387387,0.12679103875920403
-620.6340000000055,32.0,0.8157567653671912,-0.3463480259205082,0.1829922135263941,0.14975268143842985
