#CCCD,CCPD
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
206.36198245985625,243.5
216.168120543015,246.5
228.73048336301702,246.5
212.62247781283682,245.0
232.44964255897943,245.0
224.3529124256274,246.5
207.30356675987707,246.5
230.03087305231867,245.0
236.670420266148,246.5
218.0243809638298,245.0
231.6048630489237,246.5
232.20590313017365,246.5
209.1592044156237,240.5
237.32955701350028,248.0
212.34344531582494,246.5
213.08782050326838,245.0
206.961917393074,245.0
233.47034494237857,246.5
173.5468365787141,231.5
151.30273417284735,246.5
