# tau,tf,errlo,errhi
-4.776977697769776796e+02,2.057166006054585830e-224,2.057166006054585830e-224,2.413955012876134855e-139
-4.775977597759775790e+02,2.483797160093158906e-224,2.483797160093158906e-224,2.714569209166078735e-139
-4.774977497749774784e+02,2.998802527584471968e-224,2.998802527584471968e-224,3.052553005579780139e-139
-4.773977397739773778e+02,3.620466766195525841e-224,3.620466766195525841e-224,3.432543565540211908e-139
-4.772977297729772772e+02,4.370853168046927190e-224,4.370853168046927190e-224,3.859752443480159623e-139
-4.771977197719771766e+02,5.276583612272838128e-224,5.276583612272838128e-224,4.340036604798962890e-139
-4.770977097709770760e+02,6.369779317283214309e-224,6.369779317283214309e-224,4.879978211122363155e-139
-4.769976997699769754e+02,7.689195504651133495e-224,7.689195504651133495e-224,5.486974250714444582e-139
-4.768976897689768748e+02,9.281589896835633222e-224,9.281589896835633222e-224,6.169337226682989771e-139
-4.767976797679767742e+02,1.120337318022253138e-223,1.120337318022253138e-223,6.936408264703882132e-139
-4.766976697669766736e+02,1.352259946033227924e-223,1.352259946033227924e-223,7.798684169388236985e-139
-4.765976597659765730e+02,1.632136666335466908e-223,1.632136666335466908e-223,8.767960146321854891e-139
-4.764976497649764724e+02,1.969871121417114700e-223,1.969871121417114700e-223,9.857490117794247708e-139
-4.763976397639763718e+02,2.377409864782724599e-223,2.377409864782724599e-223,1.108216679708873996e-138
-4.762976297629762712e+02,2.869163269398814336e-223,2.869163269398814336e-223,1.245872395209145623e-138
-4.761976197619761706e+02,3.462513054107667698e-223,3.462513054107667698e-223,1.400596358746419654e-138
-4.760976097609760700e+02,4.178424231656957911e-223,4.178424231656957911e-223,1.574501110973091105e-138
-4.759975997599759694e+02,5.042182937001438864e-223,5.042182937001438864e-223,1.769960191574017637e-138
-4.758975897589758688e+02,6.084285999012728243e-223,6.084285999012728243e-223,1.989640326720138146e-138
-4.757975797579758250e+02,7.341513426135920270e-223,7.341513426135920270e-223,2.236537578797496970e-138
-4.756975697569757244e+02,8.858221371806008626e-223,8.858221371806008626e-223,2.514017945273204695e-138
-4.755975597559756238e+02,1.068790085117916447e-222,1.068790085117916447e-222,2.825862953278288253e-138
-4.754975497549755232e+02,1.289505676533531477e-222,1.289505676533531477e-222,3.176320863513022149e-138
-4.753975397539754226e+02,1.555747297543929443e-222,1.555747297543929443e-222,3.570164172300344832e-138
-4.752975297529753220e+02,1.876894264670190247e-222,1.876894264670190247e-222,4.012754185056632127e-138
-4.751975197519752214e+02,2.264255931879900273e-222,2.264255931879900273e-222,4.510113529207985126e-138
-4.750975097509751208e+02,2.731468372017163513e-222,2.731468372017163513e-222,5.069007580932416276e-138
-4.749974997499750202e+02,3.294972490787232156e-222,3.294972490787232156e-222,5.697035899484758981e-138
-4.748974897489749196e+02,3.974590270072720705e-222,3.974590270072720705e-222,6.402734896804430547e-138
-4.747974797479748190e+02,4.794219256719384065e-222,4.794219256719384065e-222,7.195693120449490035e-138
-4.746974697469747184e+02,5.782669531691183228e-222,5.782669531691183228e-222,8.086680696616601289e-138
-4.745974597459746178e+02,6.974672355560986464e-222,6.974672355560986464e-222,9.087794669315047219e-138
-4.744974497449745172e+02,8.412095661686842436e-222,8.412095661686842436e-222,1.021262218423857703e-137
-4.743974397439744166e+02,1.014540876532752629e-221,1.014540876532752629e-221,1.147642370428426357e-137
-4.742974297429743160e+02,1.223544732466898077e-221,1.223544732466898077e-221,1.289633871117597605e-137
-4.741974197419742154e+02,1.475554002861331555e-221,1.475554002861331555e-221,1.449161664787847336e-137
-4.740974097409741148e+02,1.779407105759771957e-221,1.779407105759771957e-221,1.628387619327952632e-137
-4.739973997399740142e+02,2.145756750288078809e-221,2.145756750288078809e-221,1.829739633860546715e-137
-4.738973897389739136e+02,2.587441916035094299e-221,2.587441916035094299e-221,2.055944315908602098e-137
-4.737973797379738130e+02,3.119936006773304565e-221,3.119936006773304565e-221,2.310063665020031202e-137
-4.736973697369737124e+02,3.761886758781726644e-221,3.761886758781726644e-221,2.595536253165684311e-137
-4.735973597359736118e+02,4.535766666887251352e-221,4.535766666887251352e-221,2.916223452126422435e-137
-4.734973497349735112e+02,5.468656523604549597e-221,5.468656523604549597e-221,3.276461325276036885e-137
-4.733973397339734106e+02,6.593189280815835749e-221,6.593189280815835749e-221,3.681118876562082233e-137
-4.732973297329733100e+02,7.948686998525317026e-221,7.948686998525317026e-221,4.135663434061260264e-137
