# time,flux,err
5.533286000000000058e+04,3.174892999999999965e+00,3.845563999999999927e-02
5.534183999999999651e+04,3.177728000000000108e+00,8.896521999999999764e-02
5.535083000000000175e+04,3.171978000000000186e+00,3.401102999999999765e-02
5.535981999999999971e+04,3.223685000000000134e+00,6.280818000000000512e-02
5.536880000000000291e+04,3.244556000000000218e+00,4.429087000000000302e-02
5.537779000000000087e+04,3.222558999999999951e+00,3.941225000000000284e-02
5.538677999999999884e+04,3.272854999999999848e+00,6.702518000000000364e-02
5.539576000000000204e+04,3.313137999999999916e+00,1.172453999999999996e-01
5.540475000000000000e+04,3.351230999999999849e+00,1.749342999999999870e-01
5.541373999999999796e+04,3.389320000000000110e+00,2.140197000000000072e-01
5.542272000000000116e+04,3.427404000000000117e+00,2.436284999999999978e-01
5.543170999999999913e+04,3.465485000000000149e+00,2.669348000000000276e-01
5.544069999999999709e+04,3.503562000000000065e+00,2.854875000000000052e-01
5.544968000000000029e+04,3.541634999999999867e+00,3.001707000000000125e-01
5.545866999999999825e+04,3.579705999999999833e+00,3.115329000000000015e-01
5.546766000000000349e+04,3.617773000000000128e+00,3.199288000000000132e-01
5.547663999999999942e+04,3.655838000000000143e+00,3.255885000000000029e-01
5.548562999999999738e+04,3.693900000000000183e+00,3.286537999999999959e-01
5.549462000000000262e+04,3.731959999999999944e+00,3.291973999999999734e-01
5.550359999999999854e+04,3.770017999999999869e+00,3.272319000000000200e-01
5.551258999999999651e+04,3.808075000000000099e+00,3.227112999999999787e-01
5.552158000000000175e+04,3.846128999999999909e+00,3.155254000000000114e-01
5.553055999999999767e+04,3.884183000000000163e+00,3.054858999999999769e-01
5.553955000000000291e+04,3.922235000000000138e+00,2.922980000000000023e-01
5.554852999999999884e+04,3.960285999999999973e+00,2.755090000000000039e-01
5.555751999999999680e+04,3.998336999999999808e+00,2.544058000000000153e-01
5.556651000000000204e+04,4.036387000000000391e+00,2.277907000000000126e-01
5.557548999999999796e+04,4.074437999999999782e+00,1.933993999999999991e-01
5.558448000000000320e+04,4.112487999999999921e+00,1.458267000000000035e-01
5.559347000000000116e+04,4.150538000000000061e+00,5.893922000000000050e-02
5.560244999999999709e+04,4.073888000000000176e+00,4.270891000000000270e-02
5.561144000000000233e+04,4.030403999999999876e+00,1.157297999999999938e-01
5.562043000000000029e+04,3.987728000000000161e+00,1.158504000000000062e-01
5.562941000000000349e+04,3.945052000000000003e+00,3.792024000000000089e-02
5.563840000000000146e+04,3.964789999999999814e+00,7.666589000000000043e-02
5.564738999999999942e+04,3.819636000000000031e+00,8.225728000000000206e-02
5.565637000000000262e+04,3.806858000000000075e+00,7.295387000000000399e-02
5.566536000000000058e+04,3.720053000000000054e+00,4.781480999999999926e-02
5.567434999999999854e+04,3.637096999999999802e+00,3.520079999999999737e-02
5.568333000000000175e+04,3.567956999999999823e+00,1.010413000000000006e-01
5.569231999999999971e+04,3.523457000000000061e+00,1.239847000000000032e-01
5.570130999999999767e+04,3.478953999999999880e+00,9.433940999999999855e-02
5.571029000000000087e+04,3.474034000000000066e+00,2.403508999999999854e-02
5.571927999999999884e+04,3.413911000000000140e+00,2.616604000000000152e-02
5.572826999999999680e+04,3.422960999999999920e+00,9.397121999999999420e-02
5.573725000000000000e+04,3.405837000000000003e+00,8.628339999999999621e-02
5.574623999999999796e+04,3.336727999999999916e+00,2.643449999999999966e-02
5.575523000000000320e+04,3.386703999999999937e+00,6.433292999999999651e-02
5.576420999999999913e+04,3.382131999999999916e+00,8.589676999999999729e-02
5.577319999999999709e+04,3.375748999999999889e+00,1.576151000000000080e-01
5.578219000000000233e+04,3.369362000000000190e+00,2.016894999999999938e-01
5.579116999999999825e+04,3.362970999999999933e+00,2.342812999999999979e-01
5.580016000000000349e+04,3.356574999999999864e+00,2.597512000000000154e-01
5.580915000000000146e+04,3.350175999999999821e+00,2.800505999999999829e-01
5.581812999999999738e+04,3.343771999999999966e+00,2.962455999999999978e-01
5.582712000000000262e+04,3.337362999999999857e+00,3.089832000000000134e-01
5.583611000000000058e+04,3.330950000000000077e+00,3.186791999999999958e-01
5.584508999999999651e+04,3.324533000000000182e+00,3.256060000000000065e-01
5.585408000000000175e+04,3.318111000000000033e+00,3.299384000000000206e-01
5.586305999999999767e+04,3.311685000000000212e+00,3.317784999999999762e-01
5.587205000000000291e+04,3.305254000000000136e+00,3.311679000000000150e-01
5.588104000000000087e+04,3.298818999999999946e+00,3.280929000000000206e-01
5.589001999999999680e+04,3.292378999999999944e+00,3.224828000000000139e-01
5.589901000000000204e+04,3.285934000000000133e+00,3.142014000000000196e-01
5.590800000000000000e+04,3.279485000000000205e+00,3.030291999999999986e-01
5.591698000000000320e+04,3.273031000000000024e+00,2.886298999999999948e-01
5.592597000000000116e+04,3.266572000000000031e+00,2.704876999999999976e-01
5.593495999999999913e+04,3.260107999999999784e+00,2.477801000000000031e-01
5.594394000000000233e+04,3.253639999999999866e+00,2.190906999999999993e-01
5.595293000000000029e+04,3.247167000000000137e+00,1.816037000000000068e-01
5.596191999999999825e+04,3.240688000000000013e+00,1.277946000000000082e-01
5.597090000000000146e+04,3.253807999999999812e+00,4.688563999999999926e-02
5.597988999999999942e+04,3.306211999999999929e+00,4.430560000000000054e-02
5.598887999999999738e+04,3.230116999999999905e+00,9.886167999999999345e-02
5.599786000000000058e+04,3.155453000000000063e+00,7.330055000000000598e-02
5.600684999999999854e+04,3.261061000000000210e+00,3.275078000000000017e-02
5.601583999999999651e+04,3.257047000000000025e+00,4.472363000000000033e-02
5.602481999999999971e+04,3.262802000000000202e+00,7.085310999999999693e-02
5.603380999999999767e+04,3.365905000000000147e+00,4.443594000000000016e-02
5.604280000000000291e+04,3.218872000000000178e+00,5.474564999999999987e-02
5.605177999999999884e+04,3.218030000000000168e+00,7.569011000000000489e-02
5.606076999999999680e+04,3.192210000000000214e+00,5.437650000000000122e-02
5.606976000000000204e+04,3.090542000000000122e+00,6.544403999999999499e-02
5.607873999999999796e+04,3.145439000000000096e+00,1.023030000000000050e-01
5.608773000000000320e+04,3.190888999999999864e+00,3.866155000000000286e-02
5.609672000000000116e+04,3.127094000000000040e+00,7.457007999999999692e-02
5.610569999999999709e+04,3.117027999999999910e+00,1.531830000000000136e-01
5.611469000000000233e+04,3.106956999999999969e+00,2.002232999999999929e-01
5.612368000000000029e+04,3.096881000000000217e+00,2.354459000000000135e-01
5.613266000000000349e+04,3.086797999999999931e+00,2.636328000000000005e-01
5.614165000000000146e+04,3.076709999999999834e+00,2.868672999999999917e-01
5.615062999999999738e+04,3.066615000000000091e+00,3.062797999999999909e-01
5.615962000000000262e+04,3.056515000000000093e+00,3.225623000000000240e-01
5.616861000000000058e+04,3.046408000000000005e+00,3.361709999999999976e-01
5.617758999999999651e+04,3.036296000000000106e+00,3.474210999999999827e-01
5.618658000000000175e+04,3.026177000000000117e+00,3.565365999999999813e-01
5.619556999999999971e+04,3.016052000000000177e+00,3.636787000000000214e-01
5.620455000000000291e+04,3.005920999999999843e+00,3.689624000000000237e-01
5.621354000000000087e+04,2.995782999999999863e+00,3.724671999999999983e-01
5.622252999999999884e+04,2.985638999999999932e+00,3.742433000000000010e-01
5.623151000000000204e+04,2.975487999999999911e+00,3.743155000000000232e-01
5.624050000000000000e+04,2.965330999999999939e+00,3.726846999999999799e-01
5.624948999999999796e+04,2.955166999999999877e+00,3.693282999999999983e-01
5.625847000000000116e+04,2.944996999999999865e+00,3.641982999999999748e-01
5.626745999999999913e+04,2.934820000000000206e+00,3.572178999999999771e-01
5.627644999999999709e+04,2.924636000000000013e+00,3.482755000000000156e-01
5.628543000000000029e+04,2.914445000000000174e+00,3.372144000000000252e-01
5.629441999999999825e+04,2.904246999999999801e+00,3.238167000000000129e-01
5.630341000000000349e+04,2.894041999999999781e+00,3.077765000000000084e-01
5.631238999999999942e+04,2.883830999999999811e+00,2.886524999999999785e-01
5.632137999999999738e+04,2.873612000000000055e+00,2.657783000000000229e-01
5.633037000000000262e+04,2.863386000000000209e+00,2.380736999999999992e-01
5.633934999999999854e+04,2.853152000000000132e+00,2.035735999999999934e-01
5.634833999999999651e+04,2.842912000000000106e+00,1.578815000000000079e-01
5.635733000000000175e+04,2.832663999999999849e+00,8.444504999999999373e-02
5.636630999999999767e+04,2.859608000000000150e+00,1.178000000000000019e-01
5.637530000000000291e+04,2.892672999999999828e+00,1.181673000000000029e-01
5.638429000000000087e+04,2.925731999999999999e+00,4.903108999999999940e-02
5.639326999999999680e+04,2.978047000000000111e+00,5.089273999999999881e-02
5.640226000000000204e+04,2.987708000000000030e+00,4.092969999999999942e-02
5.641125000000000000e+04,2.969333999999999918e+00,8.033357000000000692e-02
