# lags,weights,weighted_lags
9.560558717934841866e+01,6.202764582027450180e-01,5.930189500000000180e+01
9.707640667272610813e+01,6.073269501905057544e-01,5.895711800000000835e+01
1.072992899207098247e+02,6.066489447236911303e-01,6.509300100000000100e+01
9.707244834352756868e+01,6.073269501905057544e-01,5.895471400000000273e+01
9.732359842133210748e+01,6.120918047245444971e-01,5.957097699999999918e+01
1.078920741704767039e+02,6.155155928791297137e-01,6.640925400000000423e+01
1.016122055010588952e+02,6.117252715211682901e-01,6.215875400000000184e+01
1.074263667864305489e+02,6.074800158674189543e-01,6.525937100000000157e+01
1.051052591432002288e+02,6.060656290586873274e-01,6.370068500000000000e+01
9.514097853781130709e+01,6.240348891976598145e-01,5.937129000000000190e+01
1.036017381194099727e+02,6.014625539214348837e-01,6.231256599999999679e+01
1.032065754703887279e+02,6.073245208875636125e-01,6.267988400000000837e+01
1.053881160276230986e+02,6.006216961256709563e-01,6.329838900000000024e+01
9.909485527596156373e+01,6.247148333543927068e-01,6.190602599999999001e+01
9.803824769950631435e+01,6.272682493111274571e-01,6.149627999999999872e+01
1.012940236358471253e+02,6.052134943359565034e-01,6.130451000000000050e+01
9.707640667272610813e+01,6.073269501905057544e-01,5.895711800000000835e+01
1.012943045284603727e+02,6.052134943359565034e-01,6.130467999999999762e+01
1.017699737360921546e+02,6.186608848231547331e-01,6.296110199999999679e+01
1.074355426996305454e+02,6.073233062397364046e-01,6.524810899999999947e+01
1.075370944639000896e+02,6.174988949723916321e-01,6.640403700000000242e+01
9.514097853781130709e+01,6.240348891976598145e-01,5.937129000000000190e+01
1.072901649187886477e+02,6.129340098393659675e-01,6.576179100000000233e+01
1.002782131644997037e+02,6.212678311070584103e-01,6.229962800000000556e+01
1.062685743024239713e+02,6.057111843508733440e-01,6.436806400000000394e+01
9.380349988823847696e+01,6.247067121143473623e-01,5.859967600000000232e+01
1.084002334872995732e+02,6.122840317292882473e-01,6.637173199999999440e+01
1.037893113619121550e+02,6.075207183920015019e-01,6.305415699999999646e+01
1.039002729008715136e+02,6.014619524591817701e-01,6.249206099999999253e+01
9.709428263696675288e+01,6.135374337409184031e-01,5.957097699999999918e+01
1.002967574674260476e+02,6.316221042397549557e-01,6.334964899999999943e+01
1.071087912388771031e+02,6.064797132769979005e-01,6.495930900000000463e+01
1.051754127646308348e+02,6.074010485983399876e-01,6.388365599999999489e+01
9.939653707430103680e+01,6.153605024919337474e-01,6.116470300000000293e+01
1.052317344067020031e+02,6.352180202756667615e-01,6.684509400000000312e+01
1.082196530000435644e+02,6.076695792027122511e-01,6.576179100000000233e+01
1.073984395617626149e+02,6.076379812061486474e-01,6.525937100000000157e+01
9.892057722314606849e+01,6.047494735605164484e-01,5.982216700000000031e+01
9.909485527596156373e+01,6.247148333543927068e-01,6.190602599999999001e+01
1.027300670972527001e+02,6.093691727149093129e-01,6.260053599999999818e+01
1.051231057822498371e+02,6.318286784408824186e-01,6.641979299999999853e+01
9.836355157163362151e+01,6.440808611293600272e-01,6.335408100000000076e+01
9.716780215925577124e+01,6.255231120735018635e-01,6.078070600000000212e+01
1.004793696866057786e+02,6.024051821661531303e-01,6.052929300000000268e+01
9.989608304627638802e+01,6.280628738059281790e-01,6.274102100000000348e+01
1.039324201621131323e+02,6.164093542714770280e-01,6.406491599999999664e+01
9.981297266004230551e+01,6.412050387276069241e-01,6.400058099999999683e+01
1.034740600742894259e+02,6.196025840096550663e-01,6.411279500000000553e+01
9.994448116269722959e+01,6.269446623870891244e-01,6.265965899999999777e+01
1.022560144768093409e+02,6.073245208875636125e-01,6.210258499999999771e+01
1.048046604805978745e+02,6.350471696086574802e-01,6.655590300000000070e+01
1.002909758785902596e+02,6.193783284669456268e-01,6.211805700000000030e+01
1.002705265040148390e+02,6.164173676451693007e-01,6.180849400000000315e+01
1.025754585869143227e+02,6.126705048727630887e-01,6.284495800000000543e+01
1.038101273289108093e+02,6.107650056059827914e-01,6.340359300000000076e+01
1.006348377824856755e+02,6.316221042397549557e-01,6.356318799999999669e+01
1.072767544863432789e+02,6.130106313793424189e-01,6.576179100000000233e+01
1.078645235577434960e+02,6.156750320641686258e-01,6.640949399999999514e+01
1.046159574433557538e+02,5.824447196116533387e-01,6.093301199999999795e+01
1.004793696866057786e+02,6.024051821661531303e-01,6.052929300000000268e+01
1.037176019610666629e+02,6.106013425163140385e-01,6.333010699999999105e+01
1.066965149550720184e+02,6.153894251152270956e-01,6.565990700000000402e+01
1.035220432235902734e+02,6.057554028812877078e-01,6.270903700000000924e+01
1.048046604805978745e+02,6.350471696086574802e-01,6.655590300000000070e+01
1.046328772481227958e+02,6.057111843508733440e-01,6.337730400000000230e+01
1.024684700464984957e+02,6.391385659440510514e-01,6.549155100000000118e+01
1.084791610714858905e+02,6.122809703167831907e-01,6.641972599999999716e+01
1.004797963097617668e+02,6.024051821661531303e-01,6.052955000000000041e+01
1.051358171114349176e+02,6.137276598288983198e-01,6.452475900000000308e+01
1.057323476533442062e+02,6.077455426477289535e-01,6.425836300000000278e+01
1.073984395617626149e+02,6.076379812061486474e-01,6.525937100000000157e+01
1.032499948967847985e+02,6.066380251409626556e-01,6.263537300000000130e+01
1.051709513817026647e+02,6.350471696086574802e-01,6.678851500000000385e+01
1.045698272668386721e+02,6.198746492579878531e-01,6.482018499999999506e+01
1.012590200250275814e+02,6.210808576308149975e-01,6.289003900000000158e+01
1.038101273289108093e+02,6.107650056059827914e-01,6.340359300000000076e+01
1.022515556400874317e+02,6.191950196127682382e-01,6.331365400000000676e+01
1.071087912388771031e+02,6.064797132769979005e-01,6.495930900000000463e+01
1.036166001108795314e+02,6.074162338143692663e-01,6.293840500000000304e+01
1.019404949192739593e+02,5.996380834564949414e-01,6.112740299999999394e+01
9.803824769950631435e+01,6.272682493111274571e-01,6.149627999999999872e+01
1.002705265040148390e+02,6.164173676451693007e-01,6.180849400000000315e+01
1.051342494220652242e+02,6.317617081504558474e-01,6.641979299999999853e+01
1.012591212840982422e+02,6.210802365502678946e-01,6.289003900000000158e+01
1.004679313484659104e+02,6.236649462073029504e-01,6.265832699999999988e+01
9.693602786950232542e+01,6.236131841649223961e-01,6.045058499999999668e+01
1.007047846038382062e+02,6.164999731068760980e-01,6.208449700000000604e+01
1.010925968478134251e+02,6.292157980248365146e-01,6.360905900000000202e+01
1.078920741704767039e+02,6.155155928791297137e-01,6.640925400000000423e+01
1.048517488926865440e+02,6.078190843075700345e-01,6.373089400000000637e+01
1.072381418054277873e+02,6.132313549344950987e-01,6.576179100000000233e+01
1.048293211595341319e+02,6.317617081504558474e-01,6.622715100000000632e+01
1.074543012731209330e+02,6.073220915943385867e-01,6.525937100000000157e+01
1.018895364706565090e+02,6.239793525639379945e-01,6.357696699999999623e+01
1.004797830296635226e+02,6.024051821661531303e-01,6.052954199999999929e+01
1.051978795178122823e+02,6.055258650837558321e-01,6.370003700000000180e+01
1.051978795178122823e+02,6.055258650837558321e-01,6.370003700000000180e+01
1.063769732521282521e+02,6.126459985426980781e-01,6.517142699999999422e+01
1.078920741704767039e+02,6.155155928791297137e-01,6.640925400000000423e+01
1.015609359319264655e+02,6.135374337409184031e-01,6.231143600000000049e+01
1.002967574674260476e+02,6.316221042397549557e-01,6.334964899999999943e+01
1.004352202463471713e+02,6.256663732689474733e-01,6.283893999999999380e+01
1.005904991250480407e+02,6.014607495364796552e-01,6.050123700000000326e+01
1.033180949459458731e+02,6.108511295433681765e-01,6.311197500000000105e+01
9.724968910162354518e+01,6.335755678932176727e-01,6.161502699999999777e+01
9.899290646796509918e+01,6.200265371525633951e-01,6.137822899999999038e+01
1.017839388673696703e+02,6.222421209551359800e-01,6.333425400000000138e+01
1.022719907327014113e+02,6.192321724285183571e-01,6.333010699999999815e+01
