#lags,ntau,weight_dist,acf,smooth_dist,smooth_weight_dist
-1000.0,36.0,0.08316260828269263,-0.6811933314882133,0.0,0.0
-998.5,36.0,0.0837251243271733,-0.6827822369332455,0.0,0.0
-997.0,36.0,0.08429025078504522,-0.6828066979717489,0.0,0.0
-995.5,36.0,0.08485843027033572,-0.6811573945423106,0.0,0.0
-994.0,36.0,0.08542957079177636,-0.6777550456323809,0.0,0.0
-992.5,36.0,0.08600350789467116,-0.6725567327668285,0.0,0.0
-991.0,33.0,0.0865792691367089,-0.6739838498046895,0.0,0.0
-989.5,33.0,0.0871585237487678,-0.6738438415494676,0.0,0.0
-988.0,33.0,0.08774315360178771,-0.6719801647514723,0.0,0.0
-986.5,33.0,0.0883332508188701,-0.6682832807840906,0.0,0.0
-985.0,33.0,0.08892885171300367,-0.662678647560746,0.0,0.0
-983.5,30.0,0.08952991953852792,-0.6619157415170889,0.0,0.0
-982.0,30.0,0.09013738226505838,-0.6629034224040851,0.0,0.0
-980.5,30.0,0.09075224947926766,-0.6620752309873471,0.0,0.0
-979.0,30.0,0.09137479309331119,-0.6593011277840017,0.0,0.0
-977.5,30.0,0.0920052367921778,-0.6544944422331311,0.0,0.0
-976.0,27.0,0.09264375393504483,-0.6507059011639544,0.0,0.0
-974.5,27.0,0.09329258848786401,-0.651538017949362,0.0,0.0
-973.0,27.0,0.09395091910602464,-0.6506067654480776,0.0,0.0
-971.5,27.0,0.09461833579895014,-0.6477486344304384,0.0,0.0
-970.0,27.0,0.09529521685946674,-0.6428368553307562,0.0,0.0
-968.5,27.0,0.09598193035668279,-0.6357954365323748,0.0,0.0
-967.0,24.0,0.09667894041857278,-0.6357397482312254,0.0,0.0
-965.5,24.0,0.09738548278615906,-0.6338300175519445,0.0,0.0
-964.0,24.0,0.09810117957105247,-0.6297653498231779,0.0,0.0
-962.5,24.0,0.09882654153607642,-0.6233864110455667,0.0,0.0
-961.0,24.0,0.09956213064499196,-0.6146024732552301,0.0,0.0
-959.5,21.0,0.10030853365682169,-0.6119107429738603,0.0,0.0
-958.0,21.0,0.10106547187699248,-0.6119346864982511,0.0,0.0
-956.5,21.0,0.10182874837304604,-0.6100738165820881,0.0,0.0
-955.0,21.0,0.1025989538114922,-0.6060966415891835,0.0,0.0
-953.5,21.0,0.10337677100216325,-0.5998115055004812,0.0,0.0
-952.0,18.0,0.10416300023235699,-0.594953660386423,0.0,0.0
-950.5,18.0,0.10495932332723744,-0.5965797286650597,0.0,0.0
-949.0,18.0,0.10575971456671165,-0.5966000902176498,0.0,0.0
-947.5,18.0,0.10656232314002288,-0.5948564767277056,0.0,0.0
-946.0,18.0,0.10736789177983913,-0.5912308480545995,0.0,0.0
-944.5,18.0,0.10817736537820821,-0.5856621764091304,0.0,0.0
-943.0,15.0,0.10899287222615323,-0.5835245569331816,0.0,0.0
-941.5,15.0,0.10981380050125353,-0.5801325359767147,0.0,0.0
-940.0,15.0,0.11063583942103379,-0.5752988409405961,0.0,0.0
-938.5,15.0,0.11145971546411451,-0.5689674835191738,0.0,0.0
-937.0,15.0,0.11228637859894888,-0.5611294709694958,0.0,0.0
-935.5,12.0,0.11311697418290642,-0.5583031481328529,0.0,0.0
-934.0,12.0,0.11395499077740623,-0.5579512191413646,0.0,0.0
-932.5,12.0,0.11479434715076378,-0.5564443391683183,0.0,0.0
-931.0,12.0,0.11563571245009,-0.5536069672303147,0.0,0.0
-929.5,12.0,0.11647993049340678,-0.5492691111793826,0.0,0.0
-928.0,9.0,0.11732805633563627,-0.5448000414731226,0.0,0.0
-926.5,9.0,0.11818337109719221,-0.5424290349308495,0.0,0.0
-925.0,9.0,0.11904259133799347,-0.5388720239309237,0.0,0.0
-923.5,9.0,0.11990315579993889,-0.533940161929752,0.0,0.0
-922.0,9.0,0.12076560904377832,-0.527438205039059,0.0,0.0
-920.5,9.0,0.12163071851101845,-0.5191853110635348,0.0,0.0
-919.0,6.0,0.12250142838080347,-0.5162853652679883,0.0,0.0
-917.5,6.0,0.12338046799076785,-0.5129438338293351,0.0,0.0
-916.0,6.0,0.12426152744635605,-0.5089716208789243,0.0,0.0
-914.5,6.0,0.1251445994376832,-0.5043695778611225,0.0,0.0
-913.0,6.0,0.12602988844163585,-0.4991495070825065,0.0,0.0
-911.5,3.0,0.12691780283954687,-0.4946248294175317,0.0,0.0
-910.0,3.0,0.1278192116474285,-0.49058914451558133,0.0,0.0
-908.5,3.0,0.128725287163211,-0.48638928257641734,0.0,0.0
-907.0,3.0,0.12963533399504187,-0.4820325490438173,0.0,0.0
-905.5,3.0,0.130548751793091,-0.4775265828663585,0.0,0.0
-904.0,0.0,0.131465131185623,-0.47283718027369803,0.0,0.0
-902.5,0.0,0.13239043446597984,-0.4680139373376616,0.0,0.0
-901.0,0.0,0.1333276068615802,-0.4632098488152218,0.0,0.0
-899.5,0.0,0.13427121488736748,-0.4584268642467023,0.0,0.0
-898.0,0.0,0.1352197240247686,-0.4536668263528686,0.0,0.0
-896.5,0.0,0.13617177309711057,-0.44893147019538876,0.0,0.0
-895.0,4.0,0.13713006727822877,-0.4496369978981692,0.0,0.0
-893.5,4.0,0.13810841887497022,-0.4486192485185597,0.0,0.0
-892.0,4.0,0.13909684746617415,-0.44734110200746807,0.0,0.0
-890.5,4.0,0.14009295139636505,-0.4458214508662932,0.0,0.0
-889.0,4.0,0.1410944614962058,-0.44408222828432947,0.0,0.0
-887.5,8.0,0.14209927560026195,-0.4501328088289591,0.0,0.0
-886.0,8.0,0.14312861372889316,-0.45035288212055413,0.0,0.0
