#time,light curve,error
-197.0,8.835319877120904,1.6923576891126042
-194.62663814814815,8.821195614893428,1.6894023471594406
-192.2532762962963,8.806888573193644,1.6863646378855404
-189.87991444444444,8.792396386706113,1.6832421008905307
-187.50655259259258,8.777716659506286,1.6800321923026387
-185.13319074074073,8.762846964664396,1.6767322813223213
-182.75982888888888,8.747784843844228,1.6733396465826762
-180.38646703703705,8.732527806896687,1.6698514723142643
-178.0131051851852,8.717073331448121,1.6662648443009624
-175.63974333333334,8.701418862483308,1.6625767456123337
-173.2663814814815,8.685561811923037,1.658784052096775
-170.89301962962963,8.669499558196252,1.6548835276183338
-168.51965777777778,8.653229445806621,1.6508718190185963
-166.14629592592593,8.63674878489353,1.6467454507833887
-163.77293407407407,8.620054850787369,1.6425008193922082
-161.39957222222222,8.603144883559084,1.6381341873262791
-159.02621037037036,8.58601608756389,1.6336416767088828
-156.6528485185185,8.568665630979076,1.6290192625491258
-154.27948666666668,8.551090645335837,1.6242627655575395
-151.9061248148148,8.533288225045041,1.6193678444988244
-149.53276296296298,8.515255426916863,1.6143299880436168
-147.15940111111112,8.496989269674202,1.609144506077309
-144.78603925925927,8.478486733459802,1.603806520419667
-142.41267740740741,8.459744759336985,1.598310954904157
-140.03931555555556,8.440760248783945,1.5926525247604921
-137.6659537037037,8.421530063181475,1.58682572523781
-135.29259185185185,8.40205102329407,1.5808248193990242
-132.91923,8.382319908744332,1.5746438250091344
-130.54586814814814,8.362333457480549,1.5682765004314871
-128.17250629629632,8.342088365237402,1.5617163294360075
-125.79914444444445,8.32158128498968,1.554956504812078
-123.4257825925926,8.30080882639894,1.5479899106658168
-121.05242074074074,8.279767555252995,1.5408091032667222
-118.67905888888889,8.258453992898149,1.5334062902917378
-116.30569703703704,8.236864615664087,1.5257733082953406
-113.93233518518518,8.214995854281335,1.5179015982118775
-111.55897333333334,8.192844093291155,1.5097821786705177
-109.18561148148149,8.170405670447826,1.5014056168732453
-106.81224962962963,8.147676876113179,1.492761996751534
-104.43888777777778,8.124653952643303,1.4838408840768118
-102.06552592592593,8.101333093767312,1.474631288152411
-99.69216407407407,8.077710443958066,1.4651216196591246
-97.31880222222223,8.053782097794766,1.45529964416099
-94.94544037037038,8.029544099317276,1.4451524307005679
-92.57207851851852,8.004992441372114,1.4346662948211881
-90.19871666666667,7.980123064949959,1.423826735244269
-87.82535481481482,7.954931858514607,1.4126183632989961
-85.45199296296296,7.929414657323215,1.4010248240443977
-83.07863111111112,7.9035672427377754,1.3890287078339965
-80.70526925925927,7.877385341527662,1.3766114508427998
-78.33190740740741,7.850864625163158,1.3637532227953184
-75.95854555555556,7.824000709099847,1.3504327997884888
-73.5851837037037,7.796789152053728,1.3366274196779215
-71.21182185185185,7.769225455266963,1.3223126169676784
-68.83846,7.74130506176412,1.307462033483603
-66.46509814814814,7.7130233555987875,1.2920472002794283
-64.09173629629629,7.684375661090442,1.2760372851714852
-61.718374444444436,7.655357242051445,1.259398798951628
-59.34501259259261,7.625963301004022,1.2420952515929313
-56.971650740740756,7.5961889783871275,1.2240867475060706
-54.5982888888889,7.566029351753029,1.2053295059405773
-52.22492703703705,7.535479434953509,1.185775288691667
-49.851565185185194,7.504534177315525,1.1653707119932892
-47.47820333333334,7.473188462806206,1.1440564123026953
-45.104841481481486,7.441437109187043,1.12176602579979
-42.73147962962963,7.409274867157134,1.0984249276146312
-40.35811777777778,7.3766964194853415,1.073948657186471
-37.984755925925924,7.343696380131225,1.0482409278168274
-35.61139407407407,7.310269293354581,1.0211910767138568
-33.238032222222216,7.276409632813485,0.9926707489270572
-30.864670370370362,7.242111800650637,0.9625295115162464
-28.491308518518537,7.2073701265679,0.9305889403736649
-26.117946666666683,7.172178866888853,0.8966344702619348
-23.74458481481483,7.136532203609219,0.8604038714964154
-21.371222962962975,7.100424243435001,0.8215704615011548
-18.99786111111112,7.063849016808172,0.779717757130305
-16.624499259259267,7.026800476919751,0.7342995122830926
-14.251137407407413,6.989272498710125,0.6845732440623408
-11.877775555555559,6.951258877856409,0.6294818336036816
-9.504413703703705,6.912753329746721,0.5674226424357206
-7.131051851851851,6.873749488441175,0.49573645484304474
-4.757689999999997,6.834240905619432,0.4093354480223618
-2.3843281481481426,6.794221049514631,0.29549850911711273
-0.010966296296288647,6.753683303833516,0.07066222379463394
2.362395555555537,6.641754106319551,0.24747892025415438
4.735757407407391,6.528952855922638,0.2649795707223616
7.109119259259245,6.415589860415421,0.1764790844065197
9.482481111111099,6.259336834304849,0.2125100500353331
11.855842962962953,6.076868951024217,0.2686556019534862
14.229204814814807,5.893764581742609,0.2257198675246339
16.60256666666666,5.776524333062452,0.14936785738758912
18.975928518518515,5.857644476079042,0.2598940135072488
21.34929037037037,5.938091889750585,0.25387080027666264
23.722652222222223,6.017879874066942,0.11412784611371395
26.096014074074077,5.971963785993413,0.2373885561264321
28.46937592592593,5.908030321294586,0.2668035155623864
30.842737777777756,5.843432457303846,0.19405012590397708
33.21609962962961,5.81541858937389,0.1957050789813939
35.589461481481464,5.82315147712298,0.26693504546541486
37.96282333333332,5.830205932962887,0.23626604372074558
40.33618518518517,5.853931592563349,0.11718266278041337
42.70954703703703,5.989863612886073,0.2544494737371765
45.08290888888888,6.125144763027377,0.2597815679450364
47.456270740740734,6.259797408379045,0.14818695910208415
49.82963259259259,6.252571412698735,0.22748017406907564
52.20299444444444,6.200318544960583,0.26864753077590614
54.5763562962963,6.1474496005580965,0.21068211953764682
56.94971814814815,6.031744288587108,0.17770979433409895
59.323080000000004,5.817413708123272,0.2645011403236377
