#x,y,yerr,mask
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
16.008,1.39579,0.01389,True
