# time,flux,err
5.585408000000000175e+04,3.314810000000000034e+00,3.962127999999999761e-01
5.586305999999999767e+04,3.308059000000000083e+00,3.984133000000000258e-01
5.587205000000000291e+04,3.301304000000000016e+00,3.976550999999999836e-01
5.588104000000000087e+04,3.294544999999999835e+00,3.939212999999999743e-01
5.589001999999999680e+04,3.287780999999999842e+00,3.871255000000000113e-01
5.589901000000000204e+04,3.281013999999999875e+00,3.771020999999999956e-01
5.590800000000000000e+04,3.274242999999999792e+00,3.635838000000000125e-01
5.591698000000000320e+04,3.267466999999999899e+00,3.461610999999999994e-01
5.592597000000000116e+04,3.260686999999999891e+00,3.242044000000000037e-01
5.593495999999999913e+04,3.253903000000000212e+00,2.967081999999999775e-01
5.594394000000000233e+04,3.247114999999999974e+00,2.619326000000000154e-01
5.595293000000000029e+04,3.240321999999999925e+00,2.163949000000000011e-01
5.596191999999999825e+04,3.233525000000000205e+00,1.506292999999999938e-01
5.597090000000000146e+04,3.253362999999999783e+00,4.987947000000000214e-02
5.597988999999999942e+04,3.314652999999999849e+00,4.873473999999999862e-02
5.598887999999999738e+04,3.225788999999999795e+00,1.182133999999999963e-01
5.599786000000000058e+04,3.144776999999999934e+00,8.688793000000000211e-02
5.600684999999999854e+04,3.261941999999999897e+00,3.668215999999999838e-02
5.601583999999999651e+04,3.246701999999999977e+00,4.952834999999999877e-02
5.602481999999999971e+04,3.272476000000000163e+00,8.261229999999999962e-02
5.603380999999999767e+04,3.422512000000000221e+00,5.028885000000000299e-02
5.604280000000000291e+04,3.206106999999999818e+00,6.381944000000000505e-02
5.605177999999999884e+04,3.217214999999999936e+00,8.855643000000000542e-02
5.606076999999999680e+04,3.196696000000000204e+00,6.360699000000000214e-02
5.606976000000000204e+04,3.081935999999999787e+00,7.604160999999999559e-02
5.607873999999999796e+04,3.145532999999999912e+00,1.217273999999999995e-01
5.608773000000000320e+04,3.196714000000000055e+00,4.368617000000000333e-02
5.609672000000000116e+04,3.127171000000000145e+00,8.824798999999999838e-02
5.610569999999999709e+04,3.116865000000000219e+00,1.835095999999999949e-01
5.611469000000000233e+04,3.106554000000000038e+00,2.402351000000000070e-01
5.612368000000000029e+04,3.096238000000000046e+00,2.826656000000000168e-01
5.613266000000000349e+04,3.085916999999999799e+00,3.166028000000000175e-01
5.614165000000000146e+04,3.075591000000000186e+00,3.445662999999999920e-01
5.615062999999999738e+04,3.065259999999999874e+00,3.679215000000000124e-01
5.615962000000000262e+04,3.054924000000000195e+00,3.875032999999999950e-01
5.616861000000000058e+04,3.044582999999999817e+00,4.038614999999999844e-01
5.617758999999999651e+04,3.034235999999999933e+00,4.173758000000000190e-01
5.618658000000000175e+04,3.023883999999999794e+00,4.283158000000000243e-01
5.619556999999999971e+04,3.013526999999999845e+00,4.368753000000000219e-01
5.620455000000000291e+04,3.003163999999999945e+00,4.431925999999999921e-01
5.621354000000000087e+04,2.992795999999999790e+00,4.473628000000000049e-01
