#Lag,CCF
-274.18089,  -0.27768
-266.96560,  -0.26559
-259.75031,  -0.25368
-252.53503,  -0.24263
-245.31974,  -0.23614
-238.10445,  -0.23430
-230.88917,  -0.23179
-223.67388,  -0.22945
-216.45859,  -0.23382
-209.24331,  -0.22997
-202.02802,  -0.22284
-194.81273,  -0.21877
-187.59745,  -0.21046
-180.38216,  -0.19448
-173.16688,  -0.16671
-165.95159,  -0.13413
-158.73630,  -0.09586
-151.52102,  -0.03872
-144.30573,  -0.00196
-137.09044,   0.04657
-129.87516,   0.10316
-122.65987,   0.16611
-115.44458,   0.22420
-108.22930,   0.27035
-101.01401,   0.31043
 -93.79872,   0.34592
 -86.58344,   0.38144
 -79.36815,   0.41448
 -72.15286,   0.44021
 -64.93758,   0.46795
 -57.72229,   0.49067
 -50.50701,   0.50768
 -43.29172,   0.52615
 -36.07643,   0.54245
 -28.86115,   0.55419
 -21.64586,   0.56436
 -14.43057,   0.57493
  -7.21529,   0.58124
   0.00000,   0.58083
   7.21529,   0.58538
  14.43057,   0.59432
  21.64586,   0.60147
  28.86115,   0.59810
  36.07643,   0.58949
  43.29172,   0.57993
  50.50701,   0.57011
  57.72229,   0.56090
  64.93758,   0.55494
  72.15286,   0.55443
  79.36815,   0.56735
  86.58344,   0.56879
  93.79872,   0.57306
 101.01401,   0.57835
 108.22930,   0.58116
 115.44458,   0.58211
 122.65987,   0.58258
 129.87516,   0.59216
 137.09044,   0.60491
 144.30573,   0.60781
 151.52102,   0.61623
 158.73630,   0.61353
 165.95159,   0.61084
 173.16688,   0.61072
 180.38216,   0.61195
 187.59745,   0.63112
 194.81273,   0.65335
 202.02802,   0.68382
 209.24331,   0.72240
 216.45859,   0.75075
 223.67388,   0.77946
 230.88917,   0.81522
 238.10445,   0.85757
 245.31974,   0.88987
 252.53503,   0.89547
 259.75031,   0.87918
 266.96560,   0.85348
 274.18089,   0.82779
 281.39617,   0.80255
 288.61146,   0.77925
 295.82674,   0.76133
 303.04203,   0.73575
 310.25732,   0.71099
 317.47260,   0.68270
 324.68789,   0.65137
 331.90318,   0.61420
 339.11846,   0.57584
 346.33375,   0.54170
 353.54904,   0.50594
 360.76432,   0.45470
 367.97961,   0.41939
 375.19490,   0.37281
 382.41018,   0.33783
 389.62547,   0.30709
 396.84076,   0.27300
 404.05604,   0.23816
 411.27133,   0.20343
 418.48661,   0.17261
 425.70190,   0.15028
 432.91719,   0.12379
 440.13247,   0.10201
 447.34776,   0.07674
 454.56305,   0.05394
 461.77833,   0.05042
 468.99362,   0.05885
 476.20891,   0.06673
 483.42419,   0.07517
 490.63948,   0.07357
 497.85477,   0.07649
 505.07005,   0.08301
 512.28534,   0.08970
 519.50063,   0.08043
 526.71591,   0.09081
 533.93120,   0.11442
 541.14648,   0.20778
 548.36177,   0.20962
 555.57706,   0.21602
 562.79234,   0.21568
 570.00763,   0.19412
 577.22292,   0.16155
 584.43820,   0.13426
 591.65349,   0.07803
 598.86878,   0.04456
 606.08406,   0.03724
 613.29935,   0.02764
 620.51464,   0.01954
 627.72992,   0.01180
 634.94521,   0.00052
 642.16049,  -0.01445
 649.37578,  -0.03467
 656.59107,  -0.05376
 663.80635,  -0.08295
 671.02164,  -0.11289
 678.23693,  -0.12855
 685.45221,  -0.13118
 692.66750,  -0.12333
 699.88279,  -0.11159
 707.09807,  -0.10028
 714.31336,  -0.08571
 721.52865,  -0.06536
 728.74393,  -0.05516
 735.95922,  -0.04808
 743.17451,  -0.03330
 750.38979,  -0.00650
 757.60508,   0.03085
