# lags,weights,weighted_lags
2.551238052968577676e+02,9.770230837924477330e-01,2.492618469999999888e+02
2.554781186881234589e+02,9.805123870737392222e-01,2.504994599999999991e+02
2.558519755642216751e+02,9.719674137813276715e-01,2.486797829999999863e+02
2.581429466990906576e+02,9.661086277546491186e-01,2.493941279999999949e+02
2.507594425324668066e+02,9.931495718960038355e-01,2.490416329999999903e+02
2.541087191044778137e+02,9.829706665724499137e-01,2.497814170000000047e+02
2.565180561952249150e+02,9.720150413514689891e-01,2.493394089999999892e+02
2.559842899819923616e+02,9.786903290730221139e-01,2.505293489999999963e+02
2.564447150363907895e+02,9.769742338595167608e-01,2.505398789999999849e+02
2.608214547681618569e+02,9.561447167821023330e-01,2.493830560000000389e+02
2.546200043991810276e+02,9.796724479233506200e-01,2.494442029999999875e+02
2.532372602449902956e+02,9.864871297309101283e-01,2.498152980000000127e+02
2.574621049221401563e+02,9.681938049694085446e-01,2.492732149999999649e+02
2.545502482671083158e+02,9.829696836022749906e-01,2.502151770000000113e+02
2.558391832852531138e+02,9.720160133669962788e-01,2.486797829999999863e+02
2.521515199579238811e+02,9.922372866986861606e-01,2.501941400000000044e+02
2.562546232210069093e+02,9.789272007929797903e-01,2.508546210000000087e+02
2.511140343052555863e+02,9.917452590374308263e-01,2.490411530000000084e+02
2.518173636114684655e+02,9.905786615448450849e-01,2.494449070000000006e+02
2.499912670097979799e+02,9.963008587425506990e-01,2.490665140000000122e+02
2.522002369962644082e+02,9.922700310694264614e-01,2.502507369999999867e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.645911411803558053e+02,9.446195737507038226e-01,2.499379709999999761e+02
2.552198137089154386e+02,9.767231837427364782e-01,2.492791090000000054e+02
2.627911033747985812e+02,9.517451305925196392e-01,2.501101530000000253e+02
2.564445266997964268e+02,9.769742338595167608e-01,2.505396949999999947e+02
2.573257288352559158e+02,9.732940819157046564e-01,2.504536089999999717e+02
2.557091348682720309e+02,9.790505533913300695e-01,2.503521700000000010e+02
2.508810970587816769e+02,9.943897963007873875e-01,2.494736029999999971e+02
2.554781186881234589e+02,9.805123870737392222e-01,2.504994599999999991e+02
2.459545585270852257e+02,1.018181303488312039e+00,2.504263329999999996e+02
2.565180561952249150e+02,9.720150413514689891e-01,2.493394089999999892e+02
2.587334240543257238e+02,9.684678425907093935e-01,2.505750009999999861e+02
2.581505490800894336e+02,9.655677583806657749e-01,2.492618469999999888e+02
2.565180561952249150e+02,9.720150413514689891e-01,2.493394089999999892e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.514771626850073574e+02,9.954065821616803200e-01,2.503220230000000015e+02
2.521163276838608169e+02,9.909145246366863891e-01,2.498257309999999904e+02
2.599094464216194069e+02,9.594155327293945046e-01,2.493611600000000124e+02
2.553890247315511886e+02,9.750982927389458821e-01,2.490294020000000046e+02
2.608803579854379109e+02,9.561447167821023330e-01,2.494393760000000100e+02
2.559029113789362100e+02,9.790505533913300695e-01,2.505418870000000027e+02
2.565184615387466351e+02,9.720150413514689891e-01,2.493398030000000176e+02
2.558519755642216751e+02,9.719674137813276715e-01,2.486797829999999863e+02
2.627911033747985812e+02,9.517451305925196392e-01,2.501101530000000253e+02
2.543818595540470540e+02,9.829696836022749906e-01,2.500496559999999988e+02
2.554998352511528026e+02,9.804290470628385101e-01,2.504994599999999991e+02
2.599205662164263799e+02,9.593589288827933936e-01,2.493571159999999907e+02
2.557091348682720309e+02,9.790505533913300695e-01,2.503521700000000010e+02
2.543568169442561953e+02,9.817309400232250294e-01,2.497099570000000028e+02
2.544221695238018128e+02,9.852774523115942484e-01,2.506764269999999897e+02
2.599094464216194069e+02,9.594155327293945046e-01,2.493611600000000124e+02
2.436555220486631299e+02,1.023738374171473398e+00,2.494395079999999894e+02
2.586204295775862079e+02,9.690539429129468862e-01,2.506171470000000170e+02
2.552397953805842405e+02,9.777395042488877808e-01,2.495580309999999997e+02
2.586563452251724584e+02,9.689192537759939716e-01,2.506171129999999607e+02
2.544221695238018128e+02,9.852774523115942484e-01,2.506764269999999897e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.499979075006571918e+02,9.963018550439075582e-01,2.490733789999999885e+02
2.551174386593102099e+02,9.777395042488877808e-01,2.494383980000000065e+02
2.597407374374824371e+02,9.587614344089533391e-01,2.490294019999999762e+02
2.459545585270852257e+02,1.018181303488312039e+00,2.504263329999999996e+02
2.546200043991810276e+02,9.796724479233506200e-01,2.494442029999999875e+02
2.520687379603519673e+02,9.889069863126311866e-01,2.492725360000000023e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.488187617414450301e+02,1.002628448329127897e+00,2.494727689999999996e+02
2.560952640294520961e+02,9.795362829167765240e-01,2.508546029999999689e+02
2.534335387904438051e+02,9.841991639719201990e-01,2.494290770000000066e+02
2.562546232210069093e+02,9.789272007929797903e-01,2.508546210000000087e+02
