#Lag,CCF
-1000.0,-0.764072817576549
-998.5,-0.7654626552393867
-997.0,-0.7657306124706231
-995.5,-0.764846578527305
-994.0,-0.762797209356292
-992.5,-0.7595870085172551
-991.0,-0.7620946915632877
-989.5,-0.7635178592576994
-988.0,-0.763806176567992
-986.5,-0.7629431704315064
-985.0,-0.7609301342184911
-983.5,-0.7611273364621423
-982.0,-0.7619584162994885
-980.5,-0.7616890191351331
-979.0,-0.7602962722579903
-977.5,-0.7577744541895558
-976.0,-0.7557163975001686
-974.5,-0.7559031573666062
-973.0,-0.7550645187547184
-971.5,-0.7531711897834197
-970.0,-0.750208851674253
-968.5,-0.7461792700056801
-967.0,-0.74647885078721
-965.5,-0.7458925851711795
-964.0,-0.7443238177006949
-962.5,-0.7417459600224543
-961.0,-0.7381477722711851
-959.5,-0.7358209964146829
-958.0,-0.7337899328081383
-956.5,-0.7308401216798535
-955.0,-0.7269586207961191
-953.5,-0.7221454581174508
-952.0,-0.7178251433066061
-950.5,-0.7156868124181284
-949.0,-0.7127093914015799
-947.5,-0.7088809764949118
-946.0,-0.7042004820498446
-944.5,-0.6986779121340104
-943.0,-0.6985921110424899
-941.5,-0.6980421005247617
-940.0,-0.6968987456877933
-938.5,-0.6951532522825503
-937.0,-0.6928016259123548
-935.5,-0.6914329209535908
-934.0,-0.6904118834677464
-932.5,-0.6888734724516596
-931.0,-0.6868099810117915
-929.5,-0.6842176514200454
-928.0,-0.6818792725999707
-926.5,-0.6808111166833124
-925.0,-0.6792896181092343
-923.5,-0.67731115035329
-922.0,-0.6748752510264683
-920.5,-0.671984643348051
-919.0,-0.6694300472096564
-917.5,-0.6666172055906613
-916.0,-0.663521974710801
-914.5,-0.6601402427898488
-913.0,-0.6564689173768277
-911.5,-0.652922503236864
-910.0,-0.6494203890190235
-908.5,-0.6457449595695152
-907.0,-0.6418932107052028
-905.5,-0.6378623870027773
-904.0,-0.6340039759143472
-902.5,-0.6308489940404796
-901.0,-0.6276111304250125
-899.5,-0.6242881347525404
-898.0,-0.6208777311860656
-896.5,-0.6173776223775973
-895.0,-0.6146153115123416
-893.5,-0.610032005888546
-892.0,-0.6052275423220382
-890.5,-0.6002019598476525
-889.0,-0.5949561083857943
-887.5,-0.5898451462294441
-886.0,-0.5836927349177643
-884.5,-0.5772859177375329
-883.0,-0.5706326719444549
-881.5,-0.5637422287931647
-880.0,-0.5595027973078398
-878.5,-0.5532703906320176
-877.0,-0.5467648579839186
-875.5,-0.5399977243345604
-874.0,-0.5329817609676418
-872.5,-0.5257308717234757
-871.0,-0.5248982927162869
-869.5,-0.5160608380412611
-868.0,-0.5066868353135879
-866.5,-0.49680988797120357
-865.0,-0.48646770060918465
-863.5,-0.4769696738353728
-862.0,-0.4686504489211124
-860.5,-0.4596906343077262
-859.0,-0.4501176638268716
-857.5,-0.4399659135849072
-856.0,-0.43242111321781684
-854.5,-0.423632134491687
-853.0,-0.41419088885013966
-851.5,-0.40414134903950305
-850.0,-0.3935348981957875
-848.5,-0.38242912110616506
-847.0,-0.37823345652564794
-845.5,-0.3695683724942343
-844.0,-0.36025842789863166
-842.5,-0.35037315472272207
-841.0,-0.3399871283975862
-839.5,-0.34746449961089576
-838.0,-0.34080143698623433
-836.5,-0.33349801565796555
-835.0,-0.32561117584737487
-833.5,-0.3172040464295589
-832.0,-0.3296498816854106
-830.5,-0.3261532896585172
-829.0,-0.32203271686923846
-827.5,-0.31732304666875943
-826.0,-0.3120663902312816
-824.5,-0.3063108760969807
-823.0,-0.3252831434439044
-821.5,-0.3229154103172234
-820.0,-0.31983233057878935
-818.5,-0.316058437881037
-817.0,-0.3116306548852503
-815.5,-0.32653996309008104
-814.0,-0.32389168640097177
-812.5,-0.32050406106761864
-811.0,-0.31639784434562457
-809.5,-0.3116078434548549
-808.0,-0.3243276893219816
-806.5,-0.32415106525247817
-805.0,-0.32321748746543955
-803.5,-0.3215310195311119
-802.0,-0.3191117795652045
-800.5,-0.3159952381886364
-799.0,-0.33473001966612825
-797.5,-0.3342718084024501
-796.0,-0.33300432629501875
-794.5,-0.3309367981182523
-793.0,-0.32809663697477276
-791.5,-0.3410124052422604
-790.0,-0.3425015174330177
-788.5,-0.34315364737085524
-787.0,-0.3429651432763465
-785.5,-0.3419523264047171
-784.0,-0.35443748034049133
-782.5,-0.35599356360697787
-781.0,-0.3566779793717211
-779.5,-0.35647919408161144
-778.0,-0.3554064012311008
-776.5,-0.353489008964718
-775.0,-0.3656807396902786
-773.5,-0.3654141672073222
-772.0,-0.36424324172685557
-770.5,-0.3621818280498242
-769.0,-0.3592641093102478
-767.5,-0.3672129795245694
-766.0,-0.36777030708354047
-764.5,-0.36738537846646013
-763.0,-0.36605981173739155
-761.5,-0.36381730166723436
-760.0,-0.37042575655887566
-758.5,-0.37306622011163815
-757.0,-0.3747597583537614
-755.5,-0.375482894672471
-754.0,-0.3752353102193669
-752.5,-0.3740396323567805
-751.0,-0.3847379325543997
-749.5,-0.3865018974511474
-748.0,-0.38725762601222014
-746.5,-0.38699136881751445
-745.0,-0.3857140624009877
-743.5,-0.39359535655303146
-742.0,-0.39694991027367754
-740.5,-0.39922821476557346
-739.0,-0.4004093712293886
-737.5,-0.4004997155576165
-736.0,-0.4107734985487206
-734.5,-0.4174673931850652
-733.0,-0.4230386793336925
-731.5,-0.4274395488710188
-730.0,-0.43065136489779154
-728.5,-0.432684704465071
-727.0,-0.44796690567533537
-725.5,-0.4546190231825587
-724.0,-0.46004893712804884
-722.5,-0.46422525435597933
-721.0,-0.4671468649733044
-719.5,-0.4792289857919938
-718.0,-0.48628295315690856
-716.5,-0.4920999212029735
-715.0,-0.4966374000520599
-713.5,-0.4998826309867222
-712.0,-0.5033955135943401
-710.5,-0.5106780573971856
-709.0,-0.5167584059666537
-707.5,-0.5215797367028172
-706.0,-0.525112673351597
-704.5,-0.5273561435636124
-703.0,-0.5343197805681317
-701.5,-0.5407460925107359
-700.0,-0.5459135872700764
-698.5,-0.5497748114724283
-697.0,-0.5523102161347165
-695.5,-0.5571052080312744
-694.0,-0.5634202003046065
-692.5,-0.5684571100784543
-691.0,-0.5721560180638177
-689.5,-0.5744849802296982
-688.0,-0.5773449257404832
-686.5,-0.5853886584724166
-685.0,-0.5922506588961158
-683.5,-0.5978548674793851
-682.0,-0.6021488020970152
-680.5,-0.6051057672486233
-679.0,-0.6108667578006908
-677.5,-0.6159113651902021
-676.0,-0.6197010620593908
-674.5,-0.6222045444131739
-673.0,-0.6234143567219368
-671.5,-0.6270350450073823
-670.0,-0.6324115339007431
-668.5,-0.6365874802785307
-667.0,-0.6395173354590707
-665.5,-0.6411772133604743
-664.0,-0.6423094471626464
-662.5,-0.6448993747351461
-661.0,-0.646363949749652
-659.5,-0.6466682367766411
-658.0,-0.6457954784289609
-656.5,-0.6437478725853663
-655.0,-0.6471346727426056
-653.5,-0.6503073979445609
-652.0,-0.6523740819346255
-650.5,-0.6533045687091965
-649.0,-0.6530861051277033
-647.5,-0.6549621686801415
-646.0,-0.6584616087063098
-644.5,-0.6609175170507982
-643.0,-0.662293176088628
-641.5,-0.6625667906904933
-640.0,-0.6627027290630209
-638.5,-0.6654241790231634
-637.0,-0.6672010143380762
-635.5,-0.66800432023622
-634.0,-0.6678172819219343
-632.5,-0.6666358398831185
-631.0,-0.6688134698337899
-629.5,-0.6706777663363593
-628.0,-0.671596723610191
-626.5,-0.6715510837359073
-625.0,-0.6705336787888765
-623.5,-0.6699003589802877
-622.0,-0.6695433662673711
-620.5,-0.6683244725098985
-619.0,-0.6662261199581956
-617.5,-0.6632409698850774
-616.0,-0.6607241403737335
-614.5,-0.6626478333089671
-613.0,-0.663820620224701
-611.5,-0.6642178209926283
-610.0,-0.6638228646254808
-608.5,-0.6626279482399884
-607.0,-0.6642258772956672
-605.5,-0.6656711475534806
-604.0,-0.6664013238111766
-602.5,-0.6663913389677637
-601.0,-0.6656239499834
-599.5,-0.6656601432274074
-598.0,-0.6663769273776703
-596.5,-0.6664022823434235
-595.0,-0.6657158293637684
-593.5,-0.6643042687743096
-592.0,-0.6626136849391795
-590.5,-0.662082063472287
-589.0,-0.6608942080544724
-587.5,-0.659034933043187
-586.0,-0.6564953595654226
-584.5,-0.6532732823722708
-583.0,-0.6531893530015422
-581.5,-0.6532226056429875
-580.0,-0.6527599348155135
-578.5,-0.6517912868061261
-577.0,-0.6503100208218147
-575.5,-0.6496423738815438
-574.0,-0.649731609854636
-572.5,-0.6493896811594835
-571.0,-0.6486070759130937
-569.5,-0.6473770412805713
-568.0,-0.6460902597530083
-566.5,-0.6460905528806615
-565.0,-0.6457193694632821
-563.5,-0.6449711531029663
-562.0,-0.6438424511122334
-560.5,-0.6423319766370283
-559.0,-0.6420844842657115
-557.5,-0.6419118028953072
-556.0,-0.641538767339664
-554.5,-0.640958877396425
-553.0,-0.6401660168495501
-551.5,-0.6391683972001914
-550.0,-0.6380430976201152
-548.5,-0.6367994097054472
-547.0,-0.6354332732261653
-545.5,-0.6339406465436084
-544.0,-0.6323890598941014
-542.5,-0.6310749289179469
-541.0,-0.6297069116837526
-539.5,-0.6282828202300554
-538.0,-0.62680038948697
-536.5,-0.6252572764899849
-535.0,-0.6132628697896926
-533.5,-0.6108502524535828
-532.0,-0.6082422020751039
-530.5,-0.6054349176182264
-529.0,-0.6024251186705933
-527.5,-0.5932397154582978
-526.0,-0.5908810431177776
-524.5,-0.5882620160920979
-523.0,-0.5853827987373184
-521.5,-0.5822447173710321
-520.0,-0.5770129304283506
-518.5,-0.574272012113561
-517.0,-0.5712329417439429
-515.5,-0.5678983273305263
-514.0,-0.5642722174876669
-512.5,-0.5603600757334832
-511.0,-0.5579190397610172
-509.5,-0.5566582834872142
-508.0,-0.5548523742592855
-506.5,-0.5525080804345555
-505.0,-0.549636750782146
-503.5,-0.5509138276033576
-502.0,-0.5508500962981455
-500.5,-0.5501376332084518
-499.0,-0.5487687768271234
-497.5,-0.5467425929323453
-496.0,-0.5468270191318783
-494.5,-0.5451758687035402
-493.0,-0.5426879971854557
-491.5,-0.5393682516555827
-490.0,-0.5352327797947746
-488.5,-0.5303085998451709
-487.0,-0.5248043164396508
-485.5,-0.5219452859479417
-484.0,-0.5181189764731489
-482.5,-0.5133593226757731
-481.0,-0.5077138064760957
-479.5,-0.4963997483047826
-478.0,-0.4920984095332568
-476.5,-0.4868526594859639
