#time,light curve,error0.0 d,3.912307032607824,1.2799469073900198
8.004 d,3.9041510395467096,1.2757592869666285
16.008 d,3.895939285806795,1.2715001344088626
24.01201 d,3.8876713901649396,1.2671679334736634
32.01601 d,3.8793469687916637,1.262761123662089
40.02001 d,3.8709656352333353,1.2582780983908697
48.02401 d,3.8625270003942243,1.2537172030624768
56.02801 d,3.8540306725184412,1.2490767330266153
64.03202 d,3.845476257171751,1.2443549314254225
72.03602 d,3.836863357223261,1.239549986914015
80.04002 d,3.8281915728269835,1.2346600312472957
88.04402 d,3.8194605014032756,1.2296831367231211
96.04802 d,3.810669737620147,1.22461731347106
104.05203 d,3.801818873374446,1.21946050657499
112.05603 d,3.7929074977729105,1.2142105930166964
120.06003 d,3.7839351971130957,1.2088653784264505
128.06403 d,3.774901554864165,1.2034225936252
136.06803 d,3.7658061516475563,1.1978798909415471
144.07204 d,3.7566485652175103,1.1922348402850262
152.07604 d,3.747428370441469,1.1864849249553846
160.08004 d,3.7381451392803395,1.1806275371654962
168.08404 d,3.728798440768623,1.1746599732532752
176.08804 d,3.719387840994407,1.1685794285553845
360.18009 d,3.7099129030792195,1.162382991912645
368.18409 d,3.7003731871577523,1.1560676397738385
376.18809 d,3.6907682503574355,1.1496302298609302
384.1921 d,3.6810976467778813,1.1430674943546446
392.1961 d,3.6713609274701797,1.1363760325546426
400.2001 d,3.6615576404160604,1.129552302963315
408.2041 d,3.651687330506906,1.1225926147361656
416.2081 d,3.6417495395226243,1.1154931184349866
424.21211 d,3.631743806110376,1.1082497960121918
432.21611 d,3.6216696657631564,1.1008584499458112
440.22011 d,3.6115266507982335,1.0933146914344045
448.22411 d,3.6013142903354316,1.085613927549436
456.22811 d,3.5910321102752754,1.077751347229091
464.23212 d,3.5806796332769792,1.0697219059818932
472.23612 d,3.5702563787362847,1.0615203091503171
480.24012 d,3.5597618627631515,1.0531409935635037
488.24412 d,3.5491955981592946,1.0445781073835774
496.24812 d,3.538557094395562,1.0358254879212607
504.25213 d,3.527845857589166,1.0268766371626332
512.25613 d,3.5170613904807544,1.0177246947090541
520.26013 d,3.5062031924113235,1.0083624077850633
528.26413 d,3.4952707592989802,0.9987820979130816
536.26813 d,3.4842635836155353,0.9889756237869387
720.36018 d,3.473181154362945,0.9789343397962502
728.36418 d,3.4620229570495873,0.9686490495574297
736.36818 d,3.450788473666378,0.9581099536908045
744.37219 d,3.4394771826627215,0.9473065909419902
752.37619 d,3.4280885589222985,0.9362277715731127
760.38019 d,3.416622073738689,0.9248615017375866
768.38419 d,3.405077194790827,0.9131948972904134
776.38819 d,3.3934533861182867,0.9012140851606976
784.3922 d,3.3817501080964023,0.8889040900061104
792.3962 d,3.3699668174112185,0.8762487033563865
800.4002 d,3.358102967034262,0.8632303318021846
808.4042 d,3.346158006197153,0.849829819953231
816.4082 d,3.3341313803660304,0.8360262428155415
824.41221 d,3.3220225312158114,0.8217966608390903
832.41621 d,3.3098308966042707,0.8071158290486122
840.42021 d,3.2975559105459453,0.7919558492272124
848.42421 d,3.285197003185856,0.7762857508393457
856.42821 d,3.2727536007730547,0.7600709819130738
864.43222 d,3.260225125633988,0.7432727849424501
872.43622 d,3.247610996145678,0.7258474242534457
880.44022 d,3.234910626708724,0.7077452190245509
888.44422 d,3.2221234277201143,0.6889093184228912
896.44822 d,3.2092488055458532,0.6692741291525164
1080.54027 d,3.196286162493406,0.6487632662524769
1088.54427 d,3.183234896783947,0.6272868370039653
1096.54827 d,3.170094402524428,0.6047377709432232
1104.55228 d,3.156864069679444,0.5809867502179843
1112.55628 d,3.143543284042917,0.5558750247824423
1120.56028 d,3.130131427209582,0.5292039190376857
1128.56428 d,3.1166278765462767,0.500718947126092
1136.56828 d,3.1030320051630356,0.47008469826063565
1144.57229 d,3.08934318188399,0.43684292813846476
1152.57629 d,3.075560771218064,0.40033764071434313
1160.58029 d,3.061684133329473,0.3595683473772621
1168.58429 d,3.0477126240080197,0.31286338929297935
1176.58829 d,3.033645594639188,0.2569955375450962
1184.5923 d,3.0194823921740306,0.18377459635558022
1192.5963 d,3.0052223590988523,0.032506846095200534
1200.6003 d,2.9011745377171456,0.15373568957523562
1208.6043 d,2.796608052099794,0.16509685023104526
1216.6083 d,2.6919343891354313,0.10780572670359874
1224.61231 d,2.6163590529892615,0.13130232299710845
1232.61631 d,2.5583483041620805,0.1675541537830533
1240.62031 d,2.5002193169974376,0.13997977671254264
1248.62431 d,2.4665834063078007,0.09021847144211988
1256.62831 d,2.5064642709678484,0.16200744025428868
1440.72036 d,2.546224488621741,0.1581938292934736
1448.72436 d,2.5858659051011474,0.06690124524252879
1456.72836 d,2.7277737699999474,0.14772156339427567
1464.73237 d,2.883786811190001,0.16686175477283016
1472.73637 d,3.0396967222270384,0.12082448641858887
1480.74037 d,3.1419510341701886,0.12192534486374788
1488.74437 d,3.1917513529995385,0.1672266318859653
1496.74837 d,3.2414628386475024,0.1478790036025407
1504.75238 d,3.275508992929214,0.07204320523191014
1512.75638 d,3.20810647944345,0.1592750718977976
1520.76038 d,3.1406158920480576,0.16233021579908855
1528.76438 d,3.0730340975543653,0.09021118100438753
1536.76838 d,3.111358521250888,0.14153997535095383
1544.77239 d,3.1829198463129584,0.1680430032233255
1552.77639 d,3.2543919281990394,0.1313436900498432
1560.78039 d,3.3281800502638923,0.1103693170935286
1568.78439 d,3.4056686791967152,0.16584554311515212
1576.78839 d,3.4830784058639823,0.1539175625972649
1584.7924 d,3.5599554916851424,0.04200167395678474
1592.7964 d,3.6084908928717128,0.15535554916986455
