#time,light curve,error
-197.0,8.533527227669747,1.7790656523412536
-194.62663814814815,8.519637506719448,1.7748130835573226
-192.2532762962963,8.50560931437591,1.7704647779893672
-189.87991444444444,8.49144127017031,1.7660183103978364
-187.50655259259258,8.477131979871455,1.7614711803955099
-185.13319074074073,8.462680035348589,1.7568208093876414
-182.75982888888888,8.448084014432807,1.7520645373467798
-180.38646703703705,8.433342480777126,1.747199619410891
-178.0131051851852,8.418453983715118,1.7422232222924587
-175.63974333333334,8.403417058118167,1.7371324204851875
-173.2663814814815,8.38823022425129,1.7319241922537847
-170.89301962962963,8.372891987627515,1.7265954153910346
-168.51965777777778,8.357400838860816,1.7211428627249694
-166.14629592592593,8.341755253517583,1.7155631973574097
-163.77293407407407,8.325953691966602,1.7098529676134329
-161.39957222222222,8.309994599227545,1.7040086016794393
-159.02621037037036,8.29387640481796,1.6980264019053921
-156.6528485185185,8.277597522598708,1.6919025387444666
-154.27948666666668,8.261156350617888,1.6856330443007768
-151.9061248148148,8.244551270953192,1.679213805452933
-149.53276296296298,8.227780649552686,1.6726405565179887
-147.15940111111112,8.210842836074018,1.66590887141671
-144.78603925925927,8.193736163722,1.6590141552970967
-142.41267740740741,8.176458949084594,1.651951635568529
-140.03931555555556,8.15900949196725,1.6447163522938615
-137.6659537037037,8.141386075225597,1.6373031478810343
-135.29259185185185,8.12358696459646,1.629706656009339
-132.91923,8.105610408527196,1.6219212897181514
-130.54586814814814,8.087454638003342,1.6139412285776948
-128.17250629629632,8.069117866374517,1.605760404851991
-125.79914444444445,8.050598289178607,1.5973724885534781
-123.4257825925926,8.031894083964204,1.588770871276594
-121.05242074074074,8.01300341011125,1.5799486486836805
-118.67905888888889,7.9939244086499155,1.5708986015006023
-116.30569703703704,7.974655202077665,1.5616131748611344
-113.93233518518518,7.955193894174495,1.5520844558180138
-111.55897333333334,7.935538569816333,1.542304148814148
-109.18561148148149,7.91568729478658,1.5322635488791556
-106.81224962962963,7.895638115585767,1.5219535122835248
-104.43888777777778,7.875389059239318,1.5113644243443305
-102.06552592592593,7.854938133103397,1.500486164031587
-99.69216407407407,7.834283324668819,1.4893080649716572
-97.31880222222223,7.813422601363003,1.4778188723821208
-94.94544037037038,7.792353910349956,1.4660066953991773
-92.57207851851852,7.771075178328259,1.453858954171616
-90.19871666666667,7.749584311327035,1.441362320991651
-87.82535481481482,7.7278791944999,1.428502654608762
-85.45199296296296,7.705957691916838,1.4152649267233952
-83.07863111111112,7.683817646354013,1.4016331394770392
-80.70526925925927,7.661456879081486,1.3875902325362608
-78.33190740740741,7.638873189648809,1.373117978101082
-75.95854555555556,7.616064355668492,1.3581968618401645
-73.5851837037037,7.593028132597299,1.3428059473505192
-71.21182185185185,7.569762253515375,1.326922721236687
-68.83846,7.546264428903161,1.3105229152757825
-66.46509814814814,7.522532346416094,1.2935803013434304
-64.09173629629629,7.498563670657054,1.2760664537718645
-61.718374444444436,7.474356042946544,1.2579504725281778
-59.34501259259261,7.449907081090585,1.2391986589461763
-56.971650740740756,7.425214379146288,1.219774133592498
-54.5982888888889,7.400275507185091,1.1996363830193977
-52.22492703703705,7.375088011053647,1.1787407184014242
-49.851565185185194,7.349649412132304,1.1570376240108546
-47.47820333333334,7.323957207091208,1.1344719666319092
-45.104841481481486,7.298008867643947,1.1109820275700384
-42.73147962962963,7.271801840298753,1.0864983057107116
-40.35811777777778,7.2453335461072275,1.0609420213295337
-37.984755925925924,7.218601380410547,1.0342232232450965
-35.61139407407407,7.191602712583151,1.006238361941964
-33.238032222222216,7.16433488577387,0.9768671310877973
-30.864670370370362,7.136795216644475,0.9459682869457824
-28.491308518518537,7.108980995105617,0.913374007772973
-26.117946666666683,7.080889484050138,0.8788821140386982
-23.74458481481483,7.052517919083716,0.8422450610475409
-21.371222962962975,7.023863508252836,0.8031538918298685
-18.99786111111112,6.994923431770042,0.7612139940575274
-16.624499259259267,6.965694841736449,0.7159068577289626
-14.251137407407413,6.9361748618614865,0.6665264306517256
-11.877775555555559,6.906360587179863,0.6120657109535128
-9.504413703703705,6.876249083765688,0.5509955300400555
-7.131051851851851,6.845837388443757,0.48077483522561104
-4.757689999999997,6.815122508497956,0.3965362771437408
-2.3843281481481426,6.784101421376759,0.28610612321303386
-0.010966296296288647,6.752771074395783,0.0704404152813433
0.0,6.752625587629438,0.06784541973633372
2.362395555555537,6.640794923369357,0.23918174094264064
4.735757407407391,6.528122506380962,0.2559795324344486
7.109119259259245,6.415115639479568,0.17091455553564824
8.004,6.372417065664205,0.06269365330904317
9.482481111111099,6.259030263607054,0.20550726345040535
11.855842962962953,6.076719082168989,0.2594814061713072
14.229204814814807,5.89402902967378,0.21815636098935737
16.008,5.756846687374553,0.058310094947805056
16.60256666666666,5.777078854520012,0.1448136582052717
18.975928518518515,5.857586531997674,0.2510305949790445
21.34929037037037,5.937693774296005,0.24523618038308775
23.722652222222223,6.0174084645084065,0.11109967295574026
24.01201,6.027100728208825,0.05867439313672233
26.096014074074077,5.971373800620821,0.22937668017256263
28.46937592592593,5.907543605933779,0.25767251146117237
30.842737777777756,5.843317892180713,0.18768041198461602
32.01601,5.8114198582971035,0.05663370628275636
33.21609962962961,5.815414196302155,0.1892703160979402
35.589461481481464,5.823009128160615,0.2577948804378923
37.96282333333332,5.830200222189789,0.22828392664782163
40.02001,5.8361071557236075,0.05731834594006353
40.33618518518517,5.854168945950016,0.11397456728305469
42.70954703703703,5.989524467557934,0.24579177021574125
45.08290888888888,6.124492537570024,0.2509469817533341
