# time,flux,err
5.508123000000000320e+04,2.640559000000000101e+00,3.325252000000000208e-01
5.509022000000000116e+04,2.639571000000000112e+00,3.371709999999999985e-01
5.509920999999999913e+04,2.638508999999999993e+00,3.395395999999999970e-01
5.510819000000000233e+04,2.637369000000000074e+00,3.396792000000000145e-01
5.511718000000000029e+04,2.636153000000000191e+00,3.375928000000000262e-01
5.512616999999999825e+04,2.634856999999999783e+00,3.332385999999999959e-01
5.513515000000000146e+04,2.633483000000000018e+00,3.265252000000000154e-01
5.514413999999999942e+04,2.632028000000000034e+00,3.173019000000000256e-01
5.515312999999999738e+04,2.630491999999999830e+00,3.053400000000000003e-01
5.516211000000000058e+04,2.628873000000000015e+00,2.902989999999999737e-01
5.517109999999999854e+04,2.627171000000000145e+00,2.716650999999999927e-01
5.518008999999999651e+04,2.625383999999999940e+00,2.486281999999999937e-01
5.518906999999999971e+04,2.623511999999999844e+00,2.198033000000000070e-01
5.519805999999999767e+04,2.621554000000000162e+00,1.824606000000000006e-01
5.520705000000000291e+04,2.619508000000000170e+00,1.294151000000000051e-01
5.521602999999999884e+04,2.638592000000000048e+00,7.325776999999999983e-02
5.522501999999999680e+04,2.757061000000000206e+00,6.719227999999999312e-02
5.523400000000000000e+04,2.796027000000000040e+00,5.838584000000000135e-02
5.524298999999999796e+04,2.851722999999999786e+00,3.872194000000000330e-02
5.525198000000000320e+04,2.918730000000000047e+00,8.933069000000000426e-02
5.526095999999999913e+04,2.886839000000000155e+00,8.195397000000000098e-02
5.526994999999999709e+04,2.932653000000000176e+00,7.079146000000000050e-02
5.527894000000000233e+04,3.076187000000000005e+00,6.832802999999999793e-02
5.528791999999999825e+04,3.133443000000000200e+00,9.014821000000000639e-02
5.529691000000000349e+04,3.130199000000000176e+00,1.020497999999999961e-01
5.530590000000000146e+04,3.135205000000000020e+00,6.490397000000000527e-02
5.531487999999999738e+04,3.167289999999999939e+00,1.102643999999999985e-01
5.532387000000000262e+04,3.199273999999999951e+00,7.554813000000000500e-02
5.533286000000000058e+04,3.174729000000000134e+00,3.831024000000000235e-02
5.534183999999999651e+04,3.177490999999999843e+00,8.851907999999999999e-02
5.535083000000000175e+04,3.171927999999999859e+00,3.387077000000000143e-02
5.535981999999999971e+04,3.224285000000000068e+00,6.249833999999999945e-02
5.536880000000000291e+04,3.245082000000000022e+00,4.415870000000000212e-02
5.537779000000000087e+04,3.222354999999999858e+00,3.933108999999999911e-02
5.538677999999999884e+04,3.272918000000000216e+00,6.670236000000000220e-02
5.539576000000000204e+04,3.314125000000000210e+00,1.166230999999999934e-01
5.540475000000000000e+04,3.353426999999999936e+00,1.739395999999999998e-01
5.541373999999999796e+04,3.392618999999999829e+00,2.127447000000000088e-01
5.542272000000000116e+04,3.431697999999999915e+00,2.421204999999999885e-01
5.543170999999999913e+04,3.470664999999999889e+00,2.652282000000000250e-01
5.544069999999999709e+04,3.509517999999999915e+00,2.836119999999999752e-01
5.544968000000000029e+04,3.548256999999999994e+00,2.981535000000000157e-01
5.545866999999999825e+04,3.586879000000000151e+00,3.094004000000000199e-01
5.546766000000000349e+04,3.625385000000000080e+00,3.177073000000000258e-01
5.547663999999999942e+04,3.663771999999999807e+00,3.233042999999999889e-01
5.548562999999999738e+04,3.702040999999999915e+00,3.263334999999999986e-01
5.549462000000000262e+04,3.740190000000000126e+00,3.268676999999999833e-01
5.550359999999999854e+04,3.778217000000000159e+00,3.249198999999999837e-01
5.551258999999999651e+04,3.816122000000000014e+00,3.204446000000000239e-01
5.552158000000000175e+04,3.853905000000000136e+00,3.133317999999999937e-01
5.553055999999999767e+04,3.891563000000000105e+00,3.033934999999999826e-01
5.553955000000000291e+04,3.929094999999999782e+00,2.903356000000000270e-01
5.554852999999999884e+04,3.966502000000000194e+00,2.737065000000000192e-01
5.555751999999999680e+04,4.003779999999999895e+00,2.527947999999999862e-01
5.556651000000000204e+04,4.040930999999999607e+00,2.264067999999999914e-01
5.557548999999999796e+04,4.077951999999999799e+00,1.922870000000000135e-01
5.558448000000000320e+04,4.114842000000000333e+00,1.450577999999999868e-01
5.559347000000000116e+04,4.151601000000000319e+00,5.878291000000000072e-02
5.560244999999999709e+04,4.073555999999999955e+00,4.264685000000000004e-02
5.561144000000000233e+04,4.030240000000000045e+00,1.151512999999999981e-01
5.562043000000000029e+04,3.987604999999999844e+00,1.152640000000000053e-01
5.562941000000000349e+04,3.944831999999999894e+00,3.784788000000000041e-02
5.563840000000000146e+04,3.966416999999999859e+00,7.635164999999999313e-02
5.564738999999999942e+04,3.818982000000000099e+00,8.188726000000000338e-02
5.565637000000000262e+04,3.807891000000000137e+00,7.262899000000000438e-02
5.566536000000000058e+04,3.720248000000000221e+00,4.774234000000000117e-02
5.567434999999999854e+04,3.637220000000000120e+00,3.513713000000000253e-02
5.568333000000000175e+04,3.567873000000000072e+00,1.005264000000000019e-01
5.569231999999999971e+04,3.523315000000000197e+00,1.233543000000000001e-01
5.570130999999999767e+04,3.478609000000000062e+00,9.391222000000000458e-02
5.571029000000000087e+04,3.474200000000000177e+00,2.400812000000000085e-02
5.571927999999999884e+04,3.413845999999999936e+00,2.612917999999999838e-02
5.572826999999999680e+04,3.424077000000000037e+00,9.355674999999999408e-02
5.573725000000000000e+04,3.406521000000000132e+00,8.589019999999999988e-02
5.574623999999999796e+04,3.336019999999999985e+00,2.639021000000000075e-02
5.575523000000000320e+04,3.386667000000000094e+00,6.406075999999999437e-02
5.576420999999999913e+04,3.382886000000000060e+00,8.549895999999999885e-02
5.577319999999999709e+04,3.378188000000000191e+00,1.566902000000000017e-01
5.578219000000000233e+04,3.373331999999999997e+00,2.003775999999999891e-01
5.579116999999999825e+04,3.368317999999999923e+00,2.326350000000000084e-01
5.580016000000000349e+04,3.363144999999999829e+00,2.578085999999999989e-01
5.580915000000000146e+04,3.357810999999999879e+00,2.778465999999999991e-01
5.581812999999999738e+04,3.352317000000000213e+00,2.938149999999999928e-01
5.582712000000000262e+04,3.346659999999999968e+00,3.063619000000000203e-01
5.583611000000000058e+04,3.340840000000000032e+00,3.159042000000000239e-01
5.584508999999999651e+04,3.334855999999999820e+00,3.227157999999999971e-01
5.585408000000000175e+04,3.328707000000000082e+00,3.269727000000000050e-01
5.586305999999999767e+04,3.322392999999999930e+00,3.287777000000000061e-01
5.587205000000000291e+04,3.315911999999999971e+00,3.281729999999999925e-01
5.588104000000000087e+04,3.309263000000000066e+00,3.251452000000000231e-01
5.589001999999999680e+04,3.302446000000000215e+00,3.196234000000000020e-01
5.589901000000000204e+04,3.295459999999999834e+00,3.114712000000000036e-01
5.590800000000000000e+04,3.288304000000000116e+00,3.004684000000000244e-01
5.591698000000000320e+04,3.280978000000000172e+00,2.862778000000000267e-01
5.592597000000000116e+04,3.273480000000000167e+00,2.683825000000000238e-01
5.593495999999999913e+04,3.265810000000000102e+00,2.459600999999999871e-01
5.594394000000000233e+04,3.257966999999999835e+00,2.175950000000000106e-01
5.595293000000000029e+04,3.249950999999999812e+00,1.804790000000000005e-01
5.596191999999999825e+04,3.241760000000000197e+00,1.271220000000000128e-01
5.597090000000000146e+04,3.253859999999999975e+00,4.680451000000000056e-02
5.597988999999999942e+04,3.306979999999999809e+00,4.418306999999999790e-02
5.598887999999999738e+04,3.229855999999999838e+00,9.835584999999999467e-02
5.599786000000000058e+04,3.154555999999999916e+00,7.294652000000000081e-02
5.600684999999999854e+04,3.261210999999999860e+00,3.265024999999999872e-02
5.601583999999999651e+04,3.256359999999999921e+00,4.459524000000000127e-02
5.602481999999999971e+04,3.263561999999999852e+00,7.054394999999999416e-02
5.603380999999999767e+04,3.370127000000000095e+00,4.427753000000000244e-02
5.604280000000000291e+04,3.217942999999999998e+00,5.450723999999999847e-02
5.605177999999999884e+04,3.218068999999999846e+00,7.535266000000000186e-02
5.606076999999999680e+04,3.192670999999999815e+00,5.413578000000000140e-02
5.606976000000000204e+04,3.089840999999999838e+00,6.516408999999999396e-02
5.607873999999999796e+04,3.145573999999999870e+00,1.017926999999999998e-01
5.608773000000000320e+04,3.191444999999999865e+00,3.853133999999999726e-02
5.609672000000000116e+04,3.127845000000000208e+00,7.418349000000000470e-02
5.610569999999999709e+04,3.120179999999999954e+00,1.521253999999999940e-01
5.611469000000000233e+04,3.112334000000000156e+00,1.985847000000000029e-01
5.612368000000000029e+04,3.104308000000000067e+00,2.332465999999999984e-01
5.613266000000000349e+04,3.096102000000000132e+00,2.608914999999999984e-01
5.614165000000000146e+04,3.087715000000000209e+00,2.836083999999999827e-01
5.615062999999999738e+04,3.079146999999999856e+00,3.025346999999999897e-01
5.615962000000000262e+04,3.070399999999999796e+00,3.183688000000000073e-01
5.616861000000000058e+04,3.061472000000000193e+00,3.315722999999999865e-01
5.617758999999999651e+04,3.052363999999999855e+00,3.424655999999999811e-01
5.618658000000000175e+04,3.043076999999999810e+00,3.512768000000000002e-01
5.619556999999999971e+04,3.033609999999999918e+00,3.581703999999999999e-01
5.620455000000000291e+04,3.023963999999999874e+00,3.632642999999999844e-01
5.621354000000000087e+04,3.014139000000000124e+00,3.666400000000000214e-01
5.622252999999999884e+04,3.004135000000000222e+00,3.683491999999999877e-01
5.623151000000000204e+04,2.993954000000000004e+00,3.684174000000000060e-01
5.624050000000000000e+04,2.983595000000000219e+00,3.668455999999999939e-01
5.624948999999999796e+04,2.973059000000000118e+00,3.636109000000000147e-01
5.625847000000000116e+04,2.962346000000000146e+00,3.586639999999999828e-01
5.626745999999999913e+04,2.951458000000000137e+00,3.519264999999999755e-01
5.627644999999999709e+04,2.940393999999999952e+00,3.432842999999999867e-01
5.628543000000000029e+04,2.929155999999999871e+00,3.325775000000000259e-01
5.629441999999999825e+04,2.917745000000000033e+00,3.195844999999999936e-01
5.630341000000000349e+04,2.906159999999999854e+00,3.039948000000000095e-01
5.631238999999999942e+04,2.894403000000000059e+00,2.853619000000000017e-01
5.632137999999999738e+04,2.882474999999999898e+00,2.630137000000000169e-01
5.633037000000000262e+04,2.870375999999999816e+00,2.358644000000000018e-01
5.633934999999999854e+04,2.858108999999999789e+00,2.019457000000000058e-01
5.634833999999999651e+04,2.845673000000000119e+00,1.568694999999999951e-01
5.635733000000000175e+04,2.833069000000000059e+00,8.420326999999999673e-02
5.636630999999999767e+04,2.859805000000000152e+00,1.172655999999999976e-01
5.637530000000000291e+04,2.892882999999999871e+00,1.175937999999999983e-01
5.638429000000000087e+04,2.925797999999999899e+00,4.893758000000000136e-02
5.639326999999999680e+04,2.978168000000000148e+00,5.076496999999999954e-02
5.640226000000000204e+04,2.987689000000000039e+00,4.079061999999999966e-02
5.641125000000000000e+04,2.969829999999999970e+00,7.998463999999999574e-02
5.642023000000000320e+04,2.884701000000000182e+00,3.006653000000000103e-02
5.642922000000000116e+04,2.976863999999999955e+00,5.495864999999999778e-02
5.643820999999999913e+04,2.944601000000000024e+00,8.008560000000000678e-02
5.644719000000000233e+04,2.999493000000000187e+00,4.496283000000000224e-02
5.645618000000000029e+04,2.968049000000000159e+00,6.537987000000000659e-02
5.646516000000000349e+04,2.870788999999999813e+00,7.096550000000000080e-02
5.647415000000000146e+04,2.934892000000000056e+00,4.375997000000000220e-02
5.648313999999999942e+04,2.897332000000000019e+00,6.403169999999999695e-02
5.649212000000000262e+04,2.847885000000000222e+00,6.153898000000000007e-02
5.650111000000000058e+04,2.882795999999999914e+00,9.749428999999999734e-02
5.651009999999999854e+04,2.905946999999999836e+00,6.961119999999999808e-02
5.651908000000000175e+04,2.884824000000000055e+00,1.444768999999999914e-01
5.652806999999999971e+04,2.863564999999999916e+00,1.827128000000000085e-01
5.653705999999999767e+04,2.842172000000000143e+00,2.058719999999999994e-01
5.654604000000000087e+04,2.820644999999999847e+00,2.188068999999999986e-01
5.655502999999999884e+04,2.798985000000000056e+00,2.233092999999999884e-01
5.656401999999999680e+04,2.777194999999999858e+00,2.199023999999999979e-01
5.657300000000000000e+04,2.755326999999999860e+00,2.082032000000000049e-01
5.658198999999999796e+04,2.733649000000000218e+00,1.867506999999999917e-01
5.659098000000000320e+04,2.713257000000000030e+00,1.529935000000000045e-01
5.659995999999999913e+04,2.697678999999999938e+00,1.130456999999999990e-01
5.660894999999999709e+04,2.695069000000000159e+00,9.546886999999999734e-02
5.661794000000000233e+04,2.714570000000000149e+00,9.503846999999999989e-02
5.662691999999999825e+04,2.752231000000000094e+00,9.268529999999999824e-02
5.663591000000000349e+04,2.795583000000000151e+00,8.866322999999999566e-02
5.664490000000000146e+04,2.858805999999999958e+00,8.506165000000000254e-02
5.665387999999999738e+04,2.953812999999999800e+00,8.050438999999999512e-02
5.666287000000000262e+04,3.016725999999999797e+00,6.587611000000000161e-02
5.667186000000000058e+04,2.873431000000000068e+00,3.570389000000000201e-02
5.668083999999999651e+04,2.882413000000000114e+00,4.468629999999999824e-02
5.668983000000000175e+04,2.929431999999999814e+00,6.690245999999999693e-02
5.669881999999999971e+04,2.953834000000000071e+00,5.858818999999999833e-02
5.670780000000000291e+04,2.975366999999999873e+00,4.776654999999999790e-02
5.671679000000000087e+04,3.053812000000000193e+00,4.906858000000000053e-02
5.672577999999999884e+04,3.010384999999999867e+00,5.023322999999999677e-02
5.673476000000000204e+04,3.053498999999999963e+00,5.764365999999999934e-02
5.674375000000000000e+04,3.063076000000000132e+00,4.223411999999999999e-02
5.675273000000000320e+04,3.138644000000000212e+00,5.548216999999999732e-02
5.676172000000000116e+04,3.154628000000000210e+00,3.526144999999999974e-02
5.677070999999999913e+04,3.227914000000000172e+00,3.912217999999999946e-02
5.677969000000000233e+04,3.376984000000000208e+00,4.511746999999999980e-02
5.678868000000000029e+04,3.482397999999999882e+00,5.013341999999999798e-02
5.679766999999999825e+04,3.595209999999999795e+00,4.882177000000000044e-02
5.680665000000000146e+04,3.642060999999999993e+00,5.163327000000000194e-02
5.681563999999999942e+04,3.555384999999999796e+00,5.337390000000000190e-02
5.682462999999999738e+04,3.615728999999999971e+00,6.291404000000000440e-02
5.683361000000000058e+04,3.634183999999999859e+00,4.466665999999999692e-02
5.684259999999999854e+04,3.598224000000000089e+00,6.389722999999999931e-02
5.685158999999999651e+04,3.608791000000000082e+00,7.992586000000000135e-02
5.686056999999999971e+04,3.601941000000000059e+00,9.709360000000000213e-02
5.686955999999999767e+04,3.576982000000000106e+00,1.594283999999999979e-01
5.687855000000000291e+04,3.551985999999999866e+00,1.968216000000000132e-01
5.688752999999999884e+04,3.526966999999999963e+00,2.222501000000000060e-01
5.689651999999999680e+04,3.501933000000000185e+00,2.395612000000000019e-01
