# lags,weights,weighted_lags
-5.730639922921425295e+02,3.350933130681079120e-01,-1.920299117772107138e+02
-4.930630514601518826e+02,3.626247968872648997e-01,-1.787968888883526120e+02
-4.499959748000919149e+02,3.531244542670400888e-01,-1.589045830236471772e+02
-4.657867709240762792e+02,3.840086763452545959e-01,-1.788661613616848456e+02
-4.414832535135809621e+02,3.567476655380412143e-01,-1.574981200651092479e+02
-4.073074061340419121e+02,3.828023132189902200e-01,-1.559182172593379789e+02
-9.103731971337955429e+02,2.940056872120142550e-01,-2.676548974427200847e+02
-5.114062965497377604e+02,3.437077187421325175e-01,-1.757742915374728909e+02
-3.408482979955409178e+02,4.182978807809727417e-01,-1.425761207193362452e+02
-4.433455212382657464e+02,3.930864256756496644e-01,-1.742731062828577251e+02
-4.139159354876497332e+02,4.024652137109249184e-01,-1.665867654343943514e+02
-2.544395424562787866e+02,2.521984598147032353e-01,-6.416926072343130727e+01
-2.942530693953578407e+02,3.453792278213191902e-01,-1.016288978918217367e+02
-4.806770539777576801e+02,3.548311941288684879e-01,-1.705592130532743340e+02
-5.031543882258514486e+02,3.630661439356802078e-01,-1.826783235374761034e+02
-2.742726257715787028e+02,3.744579783075229762e-01,-1.027035729515211813e+02
-4.433455212382657464e+02,3.930864256756496644e-01,-1.742731062828577251e+02
-4.460048557103078224e+02,3.371582038739309173e-01,-1.503741960703391101e+02
-5.675107239002622919e+02,3.381760429060171047e-01,-1.919185309153199341e+02
-3.701200191544883751e+02,3.955792416808476264e-01,-1.464117965080333192e+02
-4.073074061340419121e+02,3.828023132189902200e-01,-1.559182172593379789e+02
-4.502136936548121184e+02,3.870432434599894722e-01,-1.742521682422605522e+02
-6.833170179175806425e+02,3.074906568674107832e-01,-2.101135986881571966e+02
-5.114062965497377604e+02,3.437077187421325175e-01,-1.757742915374728909e+02
-5.112815920940772116e+02,3.229693531561412256e-01,-1.651282850792661634e+02
-2.521300588810655654e+02,4.078914431063640489e-01,-1.028416935674903669e+02
-4.012960545552211329e+02,3.131048710625820575e-01,-1.256477494194353994e+02
-3.739186830653815719e+02,3.557954569686865853e-01,-1.330385687103769214e+02
-3.428828911208343584e+02,3.973739963258902108e-01,-1.362527447164610521e+02
-5.240302840842235810e+02,3.566223025527208157e-01,-1.868808865174722200e+02
-8.184524446127602459e+02,3.087323155579176914e-01,-2.526827183993358403e+02
-4.570686846133215226e+02,3.567525145687232557e-01,-1.630604025664211463e+02
-4.320224629380526835e+02,3.410021929198298052e-01,-1.473206072525018442e+02
-7.077172904477691873e+02,2.522835737159658254e-01,-1.785454472147433762e+02
-2.109810179986409082e+02,3.125401178017178649e-01,-6.594003221922159241e+01
-2.109810179986409082e+02,3.125401178017178649e-01,-6.594003221922159241e+01
-7.267160883866647509e+02,2.944695851077477333e-01,-2.139957850383465257e+02
-4.502136936548121184e+02,3.870432434599894722e-01,-1.742521682422605522e+02
-4.853019524705097183e+02,3.804302052603696915e-01,-1.846235213916141902e+02
-6.988224841706314692e+02,2.523118950978810449e-01,-1.763212253181009999e+02
-4.503464749599261836e+02,3.873694458079673386e-01,-1.744504644267982485e+02
-5.442772734954004363e+02,3.614013643441588708e-01,-1.967025492227566303e+02
-3.847327741504005871e+02,3.597922888281113174e-01,-1.384238853987614561e+02
-4.685949352792303557e+02,3.852545604164729909e-01,-1.805283358043855060e+02
-2.109810179986409082e+02,3.125401178017178649e-01,-6.594003221922159241e+01
-4.987507634805006660e+02,3.696283615666792199e-01,-1.843524275354278075e+02
-3.605579573034235636e+02,3.973739963258902108e-01,-1.432763564007611023e+02
-5.435977780673234747e+02,3.496466325376487161e-01,-1.900671325561877723e+02
-5.444116601196282090e+02,3.613132267034263601e-01,-1.967031335727919270e+02
-4.570686846133215226e+02,3.567525145687232557e-01,-1.630604025664211463e+02
-4.626123537838950597e+02,3.533738883180516654e-01,-1.634751262405811474e+02
-2.517992404288571606e+02,4.064485907790284513e-01,-1.023434464315387658e+02
-7.264063031720099843e+02,2.945372114496023763e-01,-2.139536869156982846e+02
-4.930630514601518826e+02,3.626247968872648997e-01,-1.787968888883526120e+02
-2.273777118487873281e+02,3.128123283115515352e-01,-7.112655144957221864e+01
-4.139159354876497332e+02,4.024652137109249184e-01,-1.665867654343943514e+02
-4.994765613697048821e+02,3.626203217376238186e-01,-1.811203513842843904e+02
-4.762347447630258443e+02,3.516564903181124691e-01,-1.674710389109077653e+02
-8.162236841697914542e+02,3.092354255987108669e-01,-2.524052783579932111e+02
-5.114062965497377604e+02,3.437077187421325175e-01,-1.757742915374728909e+02
-3.737970508120951081e+02,3.844755883469098134e-01,-1.437158410333200038e+02
-5.520030807157786512e+02,3.458257867820038189e-01,-1.908968996946240964e+02
-3.687559885676282647e+02,3.721083015023585738e-01,-1.372171645747233129e+02
-4.993531240961359572e+02,3.696938752682020213e-01,-1.846077915743838957e+02
-5.436191232272173011e+02,3.615725659411486159e-01,-1.965577612799424116e+02
-4.336051175541360863e+02,3.904613860765191458e-01,-1.693060552100599807e+02
-5.031543882258514486e+02,3.630661439356802078e-01,-1.826783235374761034e+02
-7.935289946204213720e+02,2.944280390926512503e-01,-2.336371858492536546e+02
-4.819128527842049152e+02,3.842212556045489502e-01,-1.851611613887173462e+02
-4.796863597987355661e+02,3.759840750850619862e-01,-1.803544323198478594e+02
-4.079840087663482677e+02,3.828016373541273665e-01,-1.561769465700587887e+02
