# tau,tf,errlo,errhi
-1.756576050999274912e+03,5.190332264873645778e-04,1.332714990740249640e-04,2.581751576578046993e-04
-1.756269774205388558e+03,5.192564661604867886e-04,1.333403519170193638e-04,2.582002936525218829e-04
-1.755963497411502203e+03,5.194797518149088219e-04,1.334092209023040134e-04,2.582254042787608065e-04
-1.755657220617615849e+03,5.197030834273808292e-04,1.334781060218830843e-04,2.582504895287650879e-04
-1.755350943823729494e+03,5.199264609746296522e-04,1.335470072677527251e-04,2.582755493947874520e-04
-1.755044667029843140e+03,5.201498844333587133e-04,1.336159246319012237e-04,2.583005838690886468e-04
-1.754738390235956786e+03,5.203733537802482335e-04,1.336848581063088993e-04,2.583255929439390699e-04
-1.754432113442070431e+03,5.205968689919551230e-04,1.337538076829485902e-04,2.583505766116167080e-04
-1.754125836648184077e+03,5.208204300451130904e-04,1.338241081710854767e-04,2.583755348644089806e-04
-1.753819559854297722e+03,5.210440369163323168e-04,1.339058163325495990e-04,2.584004676946118724e-04
-1.753513283060411368e+03,5.212676895822001069e-04,1.339875487989168634e-04,2.584253750945300415e-04
-1.753207006266525013e+03,5.214913880192801297e-04,1.340693055612599493e-04,2.584502570564763861e-04
-1.752900729472638659e+03,5.217151322041128523e-04,1.341510866106387966e-04,2.584751135727733455e-04
-1.752594452678752305e+03,5.219389221132155398e-04,1.342328919381006059e-04,2.584999446357513818e-04
-1.752288175884865950e+03,5.221627577230821471e-04,1.343147215346794589e-04,2.585247502377500646e-04
-1.751981899090979596e+03,5.223866390101833184e-04,1.343965753913967521e-04,2.585495303711173119e-04
-1.751675622297093241e+03,5.226105659509662797e-04,1.344784534992607091e-04,2.585742850282105824e-04
-1.751369345503206887e+03,5.228345385218551630e-04,1.345603558492669224e-04,2.585990142013948161e-04
-1.751063068709320532e+03,5.230585566992506817e-04,1.346422824323979740e-04,2.586237178830451443e-04
-1.750756791915434178e+03,5.232826204595304558e-04,1.347242332396237068e-04,2.586483960655438542e-04
-1.750450515121547824e+03,5.235067297790484695e-04,1.348062082619007362e-04,2.586730487412836413e-04
-1.750144238327661469e+03,5.237308846341355052e-04,1.348882074901728298e-04,2.586976759026647903e-04
-1.749837961533775115e+03,5.239550850010994687e-04,1.349702309153713413e-04,2.587222775420968020e-04
-1.749531684739888533e+03,5.241793308562246300e-04,1.350522785284142342e-04,2.587468536519976336e-04
-1.749225407946002179e+03,5.244036221757716236e-04,1.351343503202065161e-04,2.587714042247946751e-04
-1.748919131152115824e+03,5.246279589359783158e-04,1.352164462816405634e-04,2.587959292529232310e-04
-1.748612854358229470e+03,5.248523411130590456e-04,1.352985664035957422e-04,2.588204287288284723e-04
-1.748306577564343115e+03,5.250767686832049502e-04,1.353807106769384081e-04,2.588449026449630508e-04
-1.748000300770456761e+03,5.253012416225838564e-04,1.354628790925223401e-04,2.588693509937894845e-04
-1.747694023976570406e+03,5.255257599073401720e-04,1.355450716411878728e-04,2.588937737677787483e-04
-1.747387747182684052e+03,5.257503235135949950e-04,1.356272883137627644e-04,2.589181709594104907e-04
-1.747081470388797698e+03,5.259749324174464377e-04,1.357095291010618709e-04,2.589425425611732506e-04
-1.746775193594911343e+03,5.261995865949688688e-04,1.357917939938869836e-04,2.589668885655647826e-04
-1.746468916801024989e+03,5.264242860222135634e-04,1.358740829830271005e-04,2.589912089650910814e-04
-1.746162640007138634e+03,5.266490306752085945e-04,1.359563960592581546e-04,2.590155037522670319e-04
-1.745856363213252280e+03,5.268738205299585082e-04,1.360387332133432855e-04,2.590397729196169518e-04
-1.745550086419365925e+03,5.270986555624448651e-04,1.361210944360327852e-04,2.590640164596730733e-04
-1.745243809625479571e+03,5.273235357486252654e-04,1.362034797180633927e-04,2.590882343649776034e-04
-1.744937532831593217e+03,5.275484610644347577e-04,1.362858890501598670e-04,2.591124266280806637e-04
-1.744631256037706862e+03,5.277734314857848632e-04,1.363683224230335771e-04,2.591365932415415916e-04
-1.744324979243820508e+03,5.279984469885633594e-04,1.364507798273826645e-04,2.591607341979287231e-04
-1.744018702449934153e+03,5.282235075486352554e-04,1.365332612538928026e-04,2.591848494898190683e-04
-1.743712425656047799e+03,5.284486131418420331e-04,1.366157666932365459e-04,2.592089391097987441e-04
-1.743406148862161444e+03,5.286737637440017557e-04,1.366982961360733843e-04,2.592330030504623245e-04
-1.743099872068275090e+03,5.288989593309093929e-04,1.367808495730502309e-04,2.592570413044139243e-04
-1.742793595274388736e+03,5.291409424540171637e-04,1.368801695704813313e-04,2.592643112885850134e-04
-1.742487318480502381e+03,5.294081255677272066e-04,1.370046685976414758e-04,2.592464005169435896e-04
-1.742181041686615799e+03,5.296753817004655734e-04,1.371292196978395050e-04,2.592284359294187756e-04
-1.741874764892729445e+03,5.299427108266212402e-04,1.372538228603578637e-04,2.592104175199627832e-04
-1.741568488098843090e+03,5.302101129205442605e-04,1.373784780744502650e-04,2.591923452825517851e-04
-1.741262211304956736e+03,5.304775879565465238e-04,1.375031853293426668e-04,2.591742192111861319e-04
-1.740955934511070382e+03,5.307451359089013221e-04,1.376279446142326208e-04,2.591560392998905685e-04
-1.740649657717184027e+03,5.310127567518433496e-04,1.377527559182896520e-04,2.591378055427136923e-04
-1.740343380923297673e+03,5.312804504595684861e-04,1.378776192306548250e-04,2.591195179337288206e-04
-1.740037104129411318e+03,5.315482170062347730e-04,1.380025345404416659e-04,2.591011764670321472e-04
-1.739730827335524964e+03,5.318160563659607865e-04,1.381275018367344814e-04,2.590827811367458870e-04
-1.739424550541638610e+03,5.320839685128273726e-04,1.382525211085905274e-04,2.590643319370148061e-04
-1.739118273747752255e+03,5.323519534208759124e-04,1.383775923450376237e-04,2.590458288620092579e-04
-1.738811996953865901e+03,5.326200110641100566e-04,1.385027155350764308e-04,2.590272719059226892e-04
-1.738505720159979546e+03,5.328881414164943165e-04,1.386278906676787154e-04,2.590086610629738087e-04
-1.738199443366093192e+03,5.331563444519550393e-04,1.387531177317885426e-04,2.589899963274044188e-04
-1.737893166572206837e+03,5.334246201443791071e-04,1.388783967163207582e-04,2.589712776934820172e-04
-1.737586889778320483e+03,5.336929684676158889e-04,1.390037276101631033e-04,2.589525051554970869e-04
-1.737280612984434129e+03,5.339613893954755055e-04,1.391291104021744247e-04,2.589336787077652644e-04
-1.736974336190547774e+03,5.342298829017294798e-04,1.392545450811853258e-04,2.589147983446259300e-04
-1.736668059396661420e+03,5.344984489601107376e-04,1.393800316359982208e-04,2.588958640604435094e-04
-1.736361782602775065e+03,5.347670875443136067e-04,1.395055700553871178e-04,2.588768758496058468e-04
-1.736055505808888711e+03,5.350357986279937091e-04,1.396311603280978898e-04,2.588578337065259400e-04
-1.735749229015002356e+03,5.353045821847681775e-04,1.397568024428480038e-04,2.588387376256403140e-04
-1.735442952221115775e+03,5.355734381882156555e-04,1.398824963883269542e-04,2.588195876014106472e-04
-1.735136675427229420e+03,5.358423666118749965e-04,1.400082421531949079e-04,2.588003836283229043e-04
-1.734830398633343066e+03,5.361113674292476488e-04,1.401340397260848183e-04,2.587811257008870106e-04
-1.734524121839456711e+03,5.363804406137958128e-04,1.402598890956006906e-04,2.587618138136377199e-04
-1.734217845045570357e+03,5.366495861389430910e-04,1.403857902503183406e-04,2.587424479611339636e-04
-1.733911568251684002e+03,5.369188039780742718e-04,1.405117431787851782e-04,2.587230281379590676e-04
-1.733605291457797648e+03,5.371880941045357625e-04,1.406377478695204782e-04,2.587035543387210777e-04
-1.733299014663911294e+03,5.374574564916349394e-04,1.407638043110148924e-04,2.586840265580520005e-04
-1.732992737870024939e+03,5.377268911126404727e-04,1.408899124917305581e-04,2.586644447906091045e-04
-1.732686461076138585e+03,5.379963979407823265e-04,1.410160724001014777e-04,2.586448090310735108e-04
-1.732380184282252230e+03,5.382659769492518674e-04,1.411422840245333014e-04,2.586251192741508432e-04
-1.732073907488365876e+03,5.385356281112017559e-04,1.412685473534031652e-04,2.586053755145715539e-04
-1.731767630694479521e+03,5.388053513997454044e-04,1.413948623750594736e-04,2.585855777470903814e-04
-1.731461353900593167e+03,5.390064927906562317e-04,1.414525750805210457e-04,2.586343799637888302e-04
