#CCCD,CCPD
1933.69677,1933.69677
1923.16620,1926.48148
 100.93716, 101.01401
1933.69677,1933.69677
-1937.59993,-1940.91206
-1933.69677,-1933.69677
-1930.45581,-1933.69677
-1937.32658,-1940.91206
-1940.91206,-1940.91206
 115.88596, 101.01401
1937.31649,1940.91206
  93.93378,  93.79872
-1933.69677,-1933.69677
-1904.58752,-1904.83563
1940.91206,1940.91206
1940.91206,1940.91206
-1933.69677,-1933.69677
-1937.61076,-1940.91206
-1926.20430,-1926.48148
-1937.61175,-1948.12734
 104.48457, 101.01401
 101.66822, 101.01401
-1933.69677,-1933.69677
1937.39800,1940.91206
-1937.38639,-1940.91206
-1948.12734,-1948.12734
-1922.64438,-1919.26620
-1926.66555,-1926.48148
-1904.74054,-1904.83563
-1926.48148,-1926.48148
1933.69677,1933.69677
1933.69677,1933.69677
  97.79267,  93.79872
1933.69677,1933.69677
 108.43746, 101.01401
-1923.29353,-1919.26620
-1944.52165,-1948.12734
  97.51315, 101.01401
-1901.40026,-1904.83563
1929.72543,1926.48148
1933.69677,1933.69677
-1915.93474,-1919.26620
-1930.44300,-1933.69677
1919.26620,1919.26620
-1937.37098,-1940.91206
-1934.14218,-1933.69677
1912.05091,1912.05091
-1916.31059,-1933.69677
-1933.69677,-1933.69677
  94.95566, 101.01401
-1919.59835,-1926.48148
-1937.07776,-1933.69677
-1937.23570,-1933.69677
-1944.67190,-1948.12734
-1933.92914,-1933.69677
  97.78510, 101.01401
-1933.69677,-1933.69677
-1948.12734,-1948.12734
-1930.31694,-1940.91206
1930.41730,1933.69677
-1940.91206,-1940.91206
1930.50961,1940.91206
-1897.82924,-1897.62034
-1940.91206,-1940.91206
-1933.69677,-1933.69677
-1937.30262,-1933.69677
-1933.69677,-1933.69677
-1922.88265,-1926.48148
 112.19324, 101.01401
  98.12789, 101.01401
-1929.99679,-1933.69677
1962.55792,1962.55792
-1937.62509,-1940.91206
 105.38807, 101.01401
-1929.99617,-1926.48148
 118.51542, 101.01401
-1901.09510,-1897.62034
-1926.36590,-1926.48148
-1930.31357,-1933.69677
-1918.81256,-1919.26620
-1926.38944,-1926.48148
 111.83253, 101.01401
-1922.69638,-1919.26620
1937.39885,1940.91206
1940.91206,1940.91206
-1933.69677,-1933.69677
-1922.61268,-1919.26620
-1922.95610,-1926.48148
 111.69836, 101.01401
1929.79763,1926.48148
  97.97999,  93.79872
-1933.69677,-1933.69677
-1926.60799,-1933.69677
-1922.89576,-1926.48148
1919.26620,1919.26620
1962.55792,1962.55792
 101.44141, 101.01401
1926.48148,1926.48148
1940.91206,1940.91206
-1937.30441,-1940.91206
1915.92402,1919.26620
1940.91206,1940.91206
1940.91206,1940.91206
1937.42666,1940.91206
-1948.12734,-1948.12734
1919.26620,1919.26620
-1912.00299,-1912.05091
-1933.69677,-1926.48148
 101.79266, 101.01401
1962.55792,1962.55792
1926.48148,1926.48148
-1915.83688,-1919.26620
