#Lag,CCF
-274.18089,   0.01914
-266.96560,   0.02860
-259.75031,   0.03432
-252.53503,   0.03608
-245.31974,   0.03814
-238.10445,   0.03984
-230.88917,   0.03131
-223.67388,   0.02391
-216.45859,   0.01983
-209.24331,   0.02727
-202.02802,   0.03321
-194.81273,   0.03329
-187.59745,   0.03324
-180.38216,   0.04009
-173.16688,   0.05811
-165.95159,   0.07979
-158.73630,   0.11001
-151.52102,   0.15260
-144.30573,   0.18278
-137.09044,   0.22836
-129.87516,   0.26728
-122.65987,   0.30115
-115.44458,   0.33103
-108.22930,   0.35528
-101.01401,   0.37535
 -93.79872,   0.39114
 -86.58344,   0.41013
 -79.36815,   0.43265
 -72.15286,   0.44930
 -64.93758,   0.48131
 -57.72229,   0.50719
 -50.50701,   0.52912
 -43.29172,   0.54962
 -36.07643,   0.56976
 -28.86115,   0.59138
 -21.64586,   0.61753
 -14.43057,   0.64504
  -7.21529,   0.66243
   0.00000,   0.67122
   7.21529,   0.69344
  14.43057,   0.71217
  21.64586,   0.73250
  28.86115,   0.75171
  36.07643,   0.76753
  43.29172,   0.78396
  50.50701,   0.80068
  57.72229,   0.81208
  64.93758,   0.82206
  72.15286,   0.83055
  79.36815,   0.85058
  86.58344,   0.86784
  93.79872,   0.88458
 101.01401,   0.89146
 108.22930,   0.88409
 115.44458,   0.87161
 122.65987,   0.86324
 129.87516,   0.85728
 137.09044,   0.84941
 144.30573,   0.84042
 151.52102,   0.83678
 158.73630,   0.82822
 165.95159,   0.81413
 173.16688,   0.79696
 180.38216,   0.77864
 187.59745,   0.77281
 194.81273,   0.76146
 202.02802,   0.74102
 209.24331,   0.70734
 216.45859,   0.65992
 223.67388,   0.61733
 230.88917,   0.57415
 238.10445,   0.53573
 245.31974,   0.50691
 252.53503,   0.48041
 259.75031,   0.45561
 266.96560,   0.42921
 274.18089,   0.40014
 281.39617,   0.37158
 288.61146,   0.33484
 295.82674,   0.30513
 303.04203,   0.29160
 310.25732,   0.28055
 317.47260,   0.27015
 324.68789,   0.25530
 331.90318,   0.23403
 339.11846,   0.21579
 346.33375,   0.20596
 353.54904,   0.19307
 360.76432,   0.17619
 367.97961,   0.16369
 375.19490,   0.16499
 382.41018,   0.16234
 389.62547,   0.16524
 396.84076,   0.17342
 404.05604,   0.17238
 411.27133,   0.17834
 418.48661,   0.18780
 425.70190,   0.19596
 432.91719,   0.19755
 440.13247,   0.20551
 447.34776,   0.20632
 454.56305,   0.21534
 461.77833,   0.23145
 468.99362,   0.24400
 476.20891,   0.24392
 483.42419,   0.24607
 490.63948,   0.25437
 497.85477,   0.26059
 505.07005,   0.26154
 512.28534,   0.25841
 519.50063,   0.25588
 526.71591,   0.28067
 533.93120,   0.33254
 541.14648,   0.40546
 548.36177,   0.39768
 555.57706,   0.38902
 562.79234,   0.36700
 570.00763,   0.33104
 577.22292,   0.30862
 584.43820,   0.29739
 591.65349,   0.26761
 598.86878,   0.24442
