#sigma,tau,jitter
0.46974724723817896,316.77441072085907,5.942239847054077e-05
0.3704337612379559,229.1350105858688,8.043397471904489e-05
0.5245981461484199,365.585760316156,5.149120851283704e-05
0.5337774800626631,377.7889330691169,5.03981931188964e-05
0.41072489172696525,264.03872839226455,7.052108753448754e-05
0.5700067684669339,411.0583149703378,4.634265795226811e-05
0.44304473838935265,292.3198684652701,6.398020636925103e-05
0.5743565586456707,415.71748952490316,4.586639652974989e-05
0.4503821646098905,297.93647304517725,6.266543863047481e-05
0.46859165771258227,315.4348149409073,5.957885133865509e-05
0.42464493397925795,276.53672954272656,6.765897781672576e-05
0.4409940655864729,290.36277614505076,6.433668545182498e-05
0.5245981461484199,365.585760316156,5.149120851283704e-05
0.5089487871282772,353.8107231744733,5.356846773980515e-05
0.41567069709184024,268.3185779286822,6.944466255896015e-05
0.5543105274214054,395.81991570518534,4.8028870820133744e-05
0.4411648180228017,290.7345225906424,6.432623851548409e-05
0.5743565586456707,415.71748952490316,4.586639652974989e-05
0.4559395072686482,303.24438685668565,6.169369914584007e-05
0.47325059056665153,319.96054103771115,5.8832420024750686e-05
0.4706196397514539,317.39418572832614,5.9340468331276596e-05
0.4409940655864729,290.36277614505076,6.433668545182498e-05
0.5245981461484199,365.585760316156,5.149120851283704e-05
0.4818292078147236,328.4064958634991,5.7487656221271916e-05
0.3635113259534683,224.521143663587,8.2504689140347e-05
0.5569348102589049,398.3545862838937,4.773944825075937e-05
0.4545173342750445,302.68962732777334,6.191793956917082e-05
0.5743565586456707,415.71748952490316,4.586639652974989e-05
0.46779697510547186,313.5558992277408,5.973198759153401e-05
0.4780490360438099,324.3340115556039,5.8075664211071305e-05
0.5680283772545217,408.4314072372416,4.667518689907571e-05
0.42765414002672436,278.7652201559188,6.692264794756338e-05
0.5164964448946637,358.3271558092101,5.2539617724198446e-05
0.4818292078147236,328.4064958634991,5.7487656221271916e-05
0.3637680274313962,224.73441137239905,8.243009413124167e-05
0.5454670122153574,387.0387490301701,4.904772710155872e-05
0.4545173342750445,302.68962732777334,6.191793956917082e-05
0.5743565586456707,415.71748952490316,4.586639652974989e-05
0.46779697510547186,313.5558992277408,5.973198759153401e-05
0.4731589275675276,320.06544344047893,5.885415663608282e-05
0.5680283772545217,408.4314072372416,4.667518689907571e-05
0.42765414002672436,278.7652201559188,6.692264794756338e-05
0.5107313428957356,352.69124575408875,5.32880868433876e-05
0.49555998618337604,341.55805568188686,5.5468874197346624e-05
0.3903742588531515,246.88342898266916,7.52656559690588e-05
0.5454670122153574,387.0387490301701,4.904772710155872e-05
0.4327800998113336,283.45679126052454,6.593668974631926e-05
0.5372393767032291,380.333540882813,4.998850196317768e-05
0.4782103591297427,322.1255386955515,5.8113024596057786e-05
0.4731589275675276,320.06544344047893,5.885415663608282e-05
0.5680283772545217,408.4314072372416,4.667518689907571e-05
0.418322630778975,270.59332989295774,6.88349540537553e-05
0.521657128569859,360.7220007413311,5.1808748295521964e-05
0.4857529513937265,334.37286313039994,5.6963356490842166e-05
0.3903742588531515,246.88342898266916,7.52656559690588e-05
0.555790921793146,396.86808402820697,4.788286553900425e-05
0.41225209242319344,266.2262027117729,7.02058282642685e-05
0.5372393767032291,380.333540882813,4.998850196317768e-05
0.4782103591297427,322.1255386955515,5.8113024596057786e-05
0.4682373762313795,315.55184449335536,5.965053818959346e-05
0.5680283772545217,408.4314072372416,4.667518689907571e-05
0.418322630778975,270.59332989295774,6.88349540537553e-05
0.5136101580133584,353.8440565583068,5.287023672528323e-05
0.4724786085948451,322.78086288310095,5.903737062877277e-05
0.3745065417228449,233.43940006194106,7.936659375920066e-05
0.5510543012789832,392.63294838333826,4.8405210913768345e-05
0.41225209242319344,266.2262027117729,7.02058282642685e-05
0.5260019896797623,370.38779329388785,5.1346148725680405e-05
0.4458565487802183,291.47854375344826,6.3626463445808e-05
0.40833679154113667,262.5991132292149,7.10995656001062e-05
0.5676180535545382,408.04781046971056,4.6715666814691106e-05
0.42944160309955237,281.8142986710418,6.660962505180185e-05
0.5136101580133584,353.8440565583068,5.287023672528323e-05
0.4516787177958943,304.7353744981468,6.252738382829061e-05
0.34501178127074267,209.22756652242794,8.820175963405682e-05
0.5510543012789832,392.63294838333826,4.8405210913768345e-05
0.4386965612759136,289.59141092228856,6.482887181656466e-05
0.49292856398923734,340.82716475596544,5.584490674446445e-05
0.4742407756018674,313.2345327636813,5.8959368222127894e-05
0.43898039993094506,289.2989065762145,6.483303060871532e-05
0.5741491637784812,414.16336584229924,4.607889812124403e-05
0.4021335744441541,257.40468524360926,7.244626518753045e-05
0.4901292955885467,333.41179062819873,5.616899182592183e-05
0.42026982113744005,277.8641463849483,6.86361081888722e-05
0.3800174975805746,238.4553284025214,7.792724052576463e-05
0.5491228273945611,390.84440810777517,4.8609533122099575e-05
0.46979997279536984,317.73318549879235,5.94006666158372e-05
0.5472702423108166,389.6768919116172,4.87802796526818e-05
0.5768339280451629,398.66615722228283,4.607326169177247e-05
0.49976692419465274,344.2063467251593,5.4949379883368264e-05
0.5741491637784812,414.16336584229924,4.607889812124403e-05
0.33708096608215216,203.31027727889133,9.067360593050703e-05
0.4901292955885467,333.41179062819873,5.616899182592183e-05
0.42026982113744005,277.8641463849483,6.86361081888722e-05
0.35327654007828513,217.6803429026632,8.544566026458502e-05
0.5491228273945611,390.84440810777517,4.8609533122099575e-05
0.46515071516976236,314.1604333431033,6.018594426809217e-05
0.5472044185209786,391.3646329056487,4.873818727432982e-05
0.5477929853851234,376.53640659446893,4.911567080971893e-05
0.48619661954478893,335.0592214427044,5.683118304326494e-05
0.5741491637784812,414.16336584229924,4.607889812124403e-05
0.33708096608215216,203.31027727889133,9.067360593050703e-05
0.4452143518201384,300.14664115826264,6.307451928026073e-05
0.4081479779678014,267.62204525151316,7.130081549776285e-05
0.3673281898424202,229.22168950506673,8.131116923593459e-05
0.5491228273945611,390.84440810777517,4.8609533122099575e-05
0.449474448367833,300.3017357249839,6.290125477710986e-05
0.5174489782274747,362.87669352733025,5.235795867696878e-05
0.5477929853851234,376.53640659446893,4.911567080971893e-05
0.45412274300051947,306.93765198370033,6.208334727225447e-05
0.5741491637784812,414.16336584229924,4.607889812124403e-05
0.35590468985287277,219.38131381510857,8.446869769552045e-05
0.46058440182999805,314.7728617200888,6.0309686087070675e-05
0.44083615105238205,299.28015229766606,6.481775223983173e-05
0.3981704396354871,256.6505265196777,7.309825353890142e-05
0.5491228273945611,390.84440810777517,4.8609533122099575e-05
0.5581146702434988,401.81435082814164,4.7853071649740974e-05
0.5015912011542863,349.03263978265966,5.443576705470326e-05
0.5477929853851234,376.53640659446893,4.911567080971893e-05
0.45412274300051947,306.93765198370033,6.208334727225447e-05
0.5741491637784812,414.16336584229924,4.607889812124403e-05
0.3514064948595193,215.16282466372098,8.588892380201843e-05
0.42855713490503394,287.75664161266127,6.58582700460648e-05
0.47939855356223515,331.80779970790036,5.815194103306246e-05
0.36983349495347945,232.62191069819715,8.032294739135934e-05
0.556085508073507,397.0474252440122,4.784972920193674e-05
0.5268083811153804,372.62901010326726,5.147115952530074e-05
0.4819450805713612,342.76575238654345,5.6821382325098606e-05
0.5237354966212183,355.9376463401567,5.19689049754188e-05
0.4831320405999808,327.3243201942052,5.74701993464624e-05
0.5741491637784812,414.16336584229924,4.607889812124403e-05
0.3718060269792371,235.5673614225364,8.003791033321078e-05
0.3607237905821665,233.1067544953065,8.116419827054573e-05
0.4422341918183635,311.2250018254101,6.443189740539992e-05
