#Lag,CCF
-1000.0,0.12863220777130857
-998.5,0.139737200442272
-997.0,0.12277211960570465
-995.5,0.11193868291985606
-994.0,0.12798816090410714
-992.5,0.15411490161019087
-991.0,0.13219810811749755
-989.5,0.13965547885644072
-988.0,0.16035704575908918
-986.5,0.147895350052758
-985.0,0.14686540244122687
-983.5,0.10254551062021337
-982.0,0.10942390162071786
-980.5,0.07920476489824764
-979.0,0.06621133550958092
-977.5,0.07150996428133655
-976.0,0.05822551742878567
-974.5,0.05416155647934465
-973.0,0.05520631644219122
-971.5,0.03197022922688994
-970.0,0.02697572076692068
-968.5,0.013990054041072855
-967.0,0.033567130908566355
-965.5,0.031217570003304974
-964.0,0.024809930364844697
-962.5,0.0018143434112623674
-961.0,0.03459250465019258
-959.5,0.03660755985260164
-958.0,0.032298726649230045
-956.5,0.028436844351395495
-955.0,0.016717573536176387
-953.5,0.004490622007460303
-952.0,-0.012054526088210886
-950.5,-0.012848407243119343
-949.0,-0.017961026807867805
-947.5,-0.029437129797265975
-946.0,-0.03547542613324418
-944.5,-0.04960879133103174
-943.0,-0.05519931441852707
-941.5,-0.06073427867488015
-940.0,-0.05428461163382304
-938.5,-0.07252238739134577
-937.0,-0.058206508581284844
-935.5,-0.06464668156658977
-934.0,-0.05326443157689281
-932.5,-0.07185370457902106
-931.0,-0.09560293341571581
-929.5,-0.07820560755090666
-928.0,-0.08710306661479889
-926.5,-0.08988205764001933
-925.0,-0.10781500961774196
-923.5,-0.10438987918128478
-922.0,-0.11678672305320159
-920.5,-0.13371082901635029
-919.0,-0.14163603174630526
-917.5,-0.16095922820916128
-916.0,-0.1635974333638577
-914.5,-0.16216900936263884
-913.0,-0.16757017730608245
-911.5,-0.18268687107638412
-910.0,-0.17352977934351324
-908.5,-0.18828926394281273
-907.0,-0.19557910859656458
-905.5,-0.2149868620942603
-904.0,-0.19538012094444854
-902.5,-0.2029411393581273
-901.0,-0.18003058629072669
-899.5,-0.17724879723495307
-898.0,-0.20000283430310284
-896.5,-0.20524406722425648
-895.0,-0.21693608394836844
-893.5,-0.23285741821540684
-892.0,-0.2396954949425287
-890.5,-0.2445043924809261
-889.0,-0.24922082893017794
-887.5,-0.23194256878327066
-886.0,-0.2439488847141867
-884.5,-0.25652505707528495
-883.0,-0.2669183794630056
-881.5,-0.2521400217344344
-880.0,-0.2545380075357263
-878.5,-0.26895418124850523
-877.0,-0.2687396817176284
-875.5,-0.2735343010846151
-874.0,-0.2760636894636397
-872.5,-0.2792441077517151
-871.0,-0.27888326617081816
-869.5,-0.279687015240239
-868.0,-0.29707222351925255
-866.5,-0.30364180671228824
-865.0,-0.2995719504309147
-863.5,-0.30928039494192894
-862.0,-0.3228584832048519
-860.5,-0.30578242225815966
-859.0,-0.31467312822660315
-857.5,-0.32714804212426235
-856.0,-0.34125661934564866
-854.5,-0.31755229830034537
-853.0,-0.33253217340626445
-851.5,-0.34793802350975017
-850.0,-0.36090314932187206
-848.5,-0.37025052265505254
-847.0,-0.3722137231072874
-845.5,-0.3648776737462085
-844.0,-0.3740340018160405
-842.5,-0.37736262623538475
