#Lag,CCF
-1000.0,-0.10097993854201895
-998.5,-0.08698890231320057
-997.0,-0.10472388668827724
-995.5,-0.11270092217718564
-994.0,-0.10134444347589461
-992.5,-0.07311489196113538
-991.0,-0.10429524541281893
-989.5,-0.09400331879732754
-988.0,-0.0688355092460317
-986.5,-0.08428182081914147
-985.0,-0.0907501712373247
-983.5,-0.1390428881056011
-982.0,-0.13813597809378003
-980.5,-0.1685848256530635
-979.0,-0.18199253841349944
-977.5,-0.1830023761693622
-976.0,-0.19693961124578546
-974.5,-0.20354159599792254
-973.0,-0.20670039372163318
-971.5,-0.2255762713759129
-970.0,-0.23094356588346798
-968.5,-0.24593140369874128
-967.0,-0.23000643612200206
-965.5,-0.2324250863963227
-964.0,-0.2358573287556668
-962.5,-0.26200150167854735
-961.0,-0.22795931451591406
-959.5,-0.23034471769072468
-958.0,-0.2369624964857868
-956.5,-0.2443052709905156
-955.0,-0.25712617862763176
-953.5,-0.2697164626841233
-952.0,-0.28575504881466585
-950.5,-0.28999334115560677
-949.0,-0.2954842362028806
-947.5,-0.30598638914053483
-946.0,-0.31257441667369396
-944.5,-0.3249260947681466
-943.0,-0.3325710034318734
-941.5,-0.33998696392619554
-940.0,-0.334657853697261
-938.5,-0.35141366286750103
-937.0,-0.34010769706109795
-935.5,-0.34725522201263026
-934.0,-0.3383579380872357
-932.5,-0.35551924034287097
-931.0,-0.3768372633318169
-929.5,-0.36155636701480853
-928.0,-0.3714496976210105
-926.5,-0.3768090619498263
-925.0,-0.3956744810101388
-923.5,-0.39472519368103876
-922.0,-0.4055312473796374
-920.5,-0.42151110314459106
-919.0,-0.4284068528775954
-917.5,-0.4434228675068011
-916.0,-0.4456957803314967
-914.5,-0.444873660566532
-913.0,-0.45005892437591394
-911.5,-0.4646736261060401
-910.0,-0.4529492609874063
-908.5,-0.4657591669700544
-907.0,-0.4704695950388873
-905.5,-0.4895182987405451
-904.0,-0.46999085639087534
-902.5,-0.47889959971703444
